name,year,out,in,tot,tourn_type,tourn_year,hole,score,par,ob,water,side,rel_to_par
A124,9,53,52,105,sectionals,2012,1,8,5,TRUE,TRUE,front,3
A125,11,46,48,94,sectionals,2012,1,4,5,TRUE,TRUE,front,-1
A126,9,47,55,102,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A127,12,42,42,84,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A128,12,41,46,87,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A129,10,49,49,98,sectionals,2012,1,7,5,TRUE,TRUE,front,2
A130,9,45,43,88,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A131,9,52,56,108,sectionals,2012,1,4,5,TRUE,TRUE,front,-1
A132,12,39,43,82,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A133,12,41,44,85,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A134,12,45,45,90,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A135,9,43,49,92,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A136,12,48,46,94,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A137,12,47,47,94,sectionals,2012,1,8,5,TRUE,TRUE,front,3
A138,12,49,48,97,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A139,12,54,47,101,sectionals,2012,1,9,5,TRUE,TRUE,front,4
A140,11,51,51,102,sectionals,2012,1,6,5,TRUE,TRUE,front,1
A141,10,53,50,103,sectionals,2012,1,5,5,TRUE,TRUE,front,0
A142,10,53,53,106,sectionals,2012,1,10,5,TRUE,TRUE,front,5
A143,11,64,71,135,sectionals,2012,1,10,5,TRUE,TRUE,front,5
A144,12,39,39,78,regionals,2013,1,6,5,TRUE,TRUE,front,1
A145,12,43,44,87,regionals,2013,1,5,5,TRUE,TRUE,front,0
A146,12,41,44,85,regionals,2013,1,6,5,TRUE,TRUE,front,1
A147,10,51,55,106,regionals,2013,1,8,5,TRUE,TRUE,front,3
A148,9,49,54,103,regionals,2013,1,7,5,TRUE,TRUE,front,2
A149,11,49,55,104,regionals,2013,1,6,5,TRUE,TRUE,front,1
A150,9,55,55,110,regionals,2013,1,7,5,TRUE,TRUE,front,2
A151,11,49,52,101,regionals,2013,1,8,5,TRUE,TRUE,front,3
A152,10,51,54,105,regionals,2013,1,9,5,TRUE,TRUE,front,4
A153,10,58,61,119,regionals,2013,1,7,5,TRUE,TRUE,front,2
A154,12,34,37,71,regionals,2013,1,5,5,TRUE,TRUE,front,0
A155,11,38,43,81,regionals,2013,1,6,5,TRUE,TRUE,front,1
A156,12,43,44,87,regionals,2013,1,8,5,TRUE,TRUE,front,3
A157,11,42,41,83,regionals,2013,1,5,5,TRUE,TRUE,front,0
A158,11,43,47,90,regionals,2013,1,5,5,TRUE,TRUE,front,0
A159,10,43,49,92,regionals,2013,1,6,5,TRUE,TRUE,front,1
A160,12,48,50,98,regionals,2013,1,6,5,TRUE,TRUE,front,1
A161,9,41,43,84,regionals,2013,1,6,5,TRUE,TRUE,front,1
A162,10,52,47,99,regionals,2013,1,6,5,TRUE,TRUE,front,1
A163,11,55,63,118,regionals,2013,1,7,5,TRUE,TRUE,front,2
A164,9,45,45,90,regionals,2013,1,6,5,TRUE,TRUE,front,1
A165,12,43,50,93,regionals,2013,1,6,5,TRUE,TRUE,front,1
A166,10,47,49,96,regionals,2013,1,7,5,TRUE,TRUE,front,2
A167,11,50,52,102,regionals,2013,1,9,5,TRUE,TRUE,front,4
A168,12,49,55,104,regionals,2013,1,8,5,TRUE,TRUE,front,3
A169,12,45,46,91,regionals,2013,1,6,5,TRUE,TRUE,front,1
A170,11,43,51,94,regionals,2013,1,7,5,TRUE,TRUE,front,2
A171,11,43,40,83,regionals,2013,1,6,5,TRUE,TRUE,front,1
A172,10,45,49,94,regionals,2013,1,6,5,TRUE,TRUE,front,1
A173,9,47,41,88,regionals,2013,1,7,5,TRUE,TRUE,front,2
A174,11,36,35,71,regionals,2013,1,5,5,TRUE,TRUE,front,0
A175,11,32,39,71,regionals,2013,1,5,5,TRUE,TRUE,front,0
A176,11,41,39,80,regionals,2013,1,6,5,TRUE,TRUE,front,1
A177,11,42,51,93,regionals,2013,1,6,5,TRUE,TRUE,front,1
A178,11,50,47,97,regionals,2013,1,6,5,TRUE,TRUE,front,1
A179,11,39,47,86,regionals,2013,1,6,5,TRUE,TRUE,front,1
A180,10,38,48,86,regionals,2013,1,5,5,TRUE,TRUE,front,0
A181,10,46,49,95,regionals,2013,1,10,5,TRUE,TRUE,front,5
A182,12,44,52,96,regionals,2013,1,8,5,TRUE,TRUE,front,3
