name,year,1,2,3,4,5,6,7,8,9,out,10,11,12,13,14,15,16,17,18,in,tot,tourn_type,tourn_year
A398,11,4,3,5,5,4,3,4,4,3,35,4,5,5,4,5,6,4,2,5,40,75,regionals,2017
A399,10,7,5,6,6,6,4,5,5,6,50,6,6,5,4,6,6,5,4,6,48,98,regionals,2017
A400,9,7,5,5,5,5,4,5,6,6,48,10,6,8,4,6,5,8,5,7,59,107,regionals,2017
A401,10,8,5,8,8,6,5,5,9,7,61,7,7,6,4,8,8,6,5,6,57,118,regionals,2017
A402,11,5,4,4,5,4,4,4,6,5,41,4,5,5,4,6,5,5,5,5,44,85,regionals,2017
A403,12,7,5,5,6,5,4,5,4,5,46,5,6,5,4,8,5,4,3,5,45,91,regionals,2017
A404,11,6,6,5,6,4,4,5,4,8,48,6,7,6,4,7,5,4,4,5,48,96,regionals,2017
A405,11,7,7,4,6,8,5,4,6,6,53,6,6,5,6,6,4,5,4,8,50,103,regionals,2017
A406,11,6,5,6,6,7,7,5,8,5,55,7,10,8,4,8,6,5,5,6,59,114,regionals,2017
A407,12,9,4,5,10,5,4,5,6,4,52,7,6,6,4,8,5,6,4,5,51,103,regionals,2017
A408,11,8,5,7,6,8,5,6,9,6,60,8,10,6,6,21,8,6,3,6,74,134,regionals,2017
A409,10,11,5,7,6,5,5,6,6,5,56,6,6,6,4,8,6,6,5,7,54,110,regionals,2017
A410,10,12,9,7,8,6,6,8,7,5,68,7,7,6,4,8,8,6,4,9,59,127,regionals,2017
A411,12,5,5,4,5,4,5,8,4,5,45,5,6,4,4,7,5,5,4,4,44,89,regionals,2017
A412,12,6,4,4,6,4,4,5,5,5,43,6,5,5,3,6,5,4,2,5,41,84,regionals,2017
A413,12,8,8,9,6,8,4,6,8,5,62,6,9,6,6,8,6,8,4,5,58,120,regionals,2017
A414,11,8,5,5,6,5,6,8,6,4,53,5,6,6,4,7,5,6,5,7,51,104,regionals,2017
A415,9,18,9,8,6,6,7,12,9,8,83,11,10,7,5,9,7,10,5,8,72,155,regionals,2017
A416,12,5,5,6,5,5,4,5,5,3,43,4,5,5,6,5,4,6,4,5,44,87,regionals,2017
A417,11,6,3,5,6,5,4,4,4,5,42,5,6,5,4,5,4,5,4,5,43,85,regionals,2017
A418,11,8,5,5,7,6,5,6,6,3,51,5,6,4,6,6,6,5,4,6,48,99,regionals,2017
A419,10,7,4,5,7,5,4,5,4,3,44,5,6,6,4,7,5,5,3,5,46,90,regionals,2017
A420,10,5,6,4,6,5,5,5,6,4,46,4,6,6,4,7,4,4,3,6,44,90,regionals,2017
A421,10,7,4,5,6,5,4,5,5,4,45,5,8,4,4,7,4,6,2,4,44,89,regionals,2017
A422,12,5,5,5,5,5,4,5,7,5,46,4,6,4,3,6,4,5,4,6,42,88,regionals,2017
A423,11,6,6,7,7,8,4,7,4,6,55,4,7,6,5,7,5,6,3,5,48,103,regionals,2017
A424,9,7,6,4,6,6,4,6,4,4,47,7,5,6,5,6,6,7,5,6,53,100,regionals,2017
A425,9,5,6,6,6,7,3,5,8,6,52,8,6,8,3,7,7,7,4,7,57,109,regionals,2017
A426,12,8,6,5,5,5,4,4,4,3,44,5,8,5,4,6,4,6,4,6,48,92,sectionals,2018
A427,11,11,5,6,7,7,5,10,5,3,59,5,5,10,5,6,5,6,4,6,52,111,sectionals,2018
A428,12,6,5,6,6,6,5,5,6,5,50,5,5,8,4,9,5,5,3,5,50,100,sectionals,2018
A429,9,7,7,6,11,7,7,7,4,5,61,5,8,6,5,9,5,9,6,6,59,120,sectionals,2018
