hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title
4.0,4.0,6.0,6.0,5.0,4.0,3.0,4.0,4.0,3.0,4.0,5.0,3.0,5.0,5.0,4.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - Robert Bishop Scorecard | WSGA
5.0,4.0,5.0,5.0,3.0,4.0,4.0,6.0,5.0,3.0,4.0,4.0,3.0,4.0,6.0,4.0,5.0,5.0,Amateur Qualifier (The Oaks GC) - Joshua Haunty Scorecard | WSGA
5.0,5.0,5.0,6.0,2.0,4.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,6.0,5.0,4.0,4.0,Amateur Qualifier (The Oaks GC) - Brandon Talaska Scorecard | WSGA
4.0,4.0,6.0,5.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,3.0,6.0,5.0,5.0,3.0,6.0,Amateur Qualifier (The Oaks GC) - Cameron Barnes Scorecard | WSGA
7.0,5.0,6.0,5.0,3.0,4.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,6.0,5.0,4.0,3.0,4.0,Amateur Qualifier (The Oaks GC) - Jason Schroeder Scorecard | WSGA
6.0,5.0,6.0,6.0,3.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,3.0,5.0,5.0,4.0,3.0,7.0,Amateur Qualifier (The Oaks GC) - TJ Klement Scorecard | WSGA
5.0,3.0,6.0,5.0,4.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,7.0,Amateur Qualifier (The Oaks GC) - Isaac Heckmann Scorecard | WSGA
4.0,4.0,5.0,6.0,3.0,5.0,3.0,4.0,6.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Brady LeMonds Scorecard | WSGA
7.0,3.0,4.0,7.0,3.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,4.0,5.0,5.0,4.0,6.0,Amateur Qualifier (The Oaks GC) - Mason Kent Scorecard | WSGA
6.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,5.0,Amateur Qualifier (The Oaks GC) - Blake Hietala Scorecard | WSGA
