hole_1,hole_2,hole_3,hole_4,hole_5,hole_6,hole_7,hole_8,hole_9,hole_10,hole_11,hole_12,hole_13,hole_14,hole_15,hole_16,hole_17,hole_18,title,url
5.0,4.0,5.0,4.0,3.0,5.0,5.0,5.0,4.0,5.0,4.0,2.0,3.0,6.0,5.0,4.0,3.0,5.0,Wisconsin State Open Qualifier #3 - Brad Stieber (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/627/scorecard.htm
5.0,5.0,4.0,5.0,3.0,4.0,4.0,4.0,3.0,5.0,4.0,2.0,6.0,5.0,5.0,3.0,5.0,6.0,Wisconsin State Open Qualifier #3 - Jordan Lockhart (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/612/scorecard.htm
4.0,5.0,4.0,4.0,4.0,6.0,5.0,5.0,4.0,5.0,4.0,3.0,4.0,6.0,5.0,4.0,3.0,4.0,Wisconsin State Open Qualifier #3 - Derek Hilmershausen (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/565/scorecard.htm
5.0,6.0,4.0,4.0,4.0,5.0,6.0,4.0,3.0,5.0,5.0,3.0,5.0,4.0,4.0,5.0,3.0,4.0,Wisconsin State Open Qualifier #3 - John Wallrich Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/595/scorecard.htm
5.0,6.0,5.0,4.0,3.0,5.0,5.0,4.0,5.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,3.0,5.0,Wisconsin State Open Qualifier #3 - Tyde Terzinski (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/654/scorecard.htm
3.0,7.0,4.0,4.0,4.0,6.0,4.0,5.0,6.0,4.0,5.0,2.0,5.0,5.0,4.0,4.0,3.0,4.0,Wisconsin State Open Qualifier #3 - Scott Loftus (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/568/scorecard.htm
4.0,5.0,4.0,5.0,4.0,6.0,4.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,4.0,Wisconsin State Open Qualifier #3 - Andrew DeSormeau (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/605/scorecard.htm
3.0,6.0,6.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,5.0,6.0,5.0,5.0,5.0,5.0,Wisconsin State Open Qualifier #3 - Pete Hamacher (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/598/scorecard.htm
5.0,5.0,4.0,5.0,3.0,6.0,6.0,4.0,3.0,5.0,4.0,3.0,4.0,4.0,7.0,4.0,5.0,4.0,Wisconsin State Open Qualifier #3 - Matthew Haase (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/615/scorecard.htm
5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,5.0,4.0,5.0,Wisconsin State Open Qualifier #3 - Alex Schremp (a) Scorecard | Wisconsin PGA,https://wiscpga.bluegolf.com/bluegolf/wiscpga11/event/wiscpga1128/contest/1/contestant/549/scorecard.htm
