name,url,year
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2014.html,2014
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2014.html,2014
Putting - Inside 10',https://www.pgatour.com/stats/stat.484.y2015.html,2015
Putting from - > 10',https://www.pgatour.com/stats/stat.356.y2015.html,2015
Putting from - > 20',https://www.pgatour.com/stats/stat.02429.y2015.html,2015
Putting from - > 25',https://www.pgatour.com/stats/stat.408.y2015.html,2015
Putting from - 10-15',https://www.pgatour.com/stats/stat.405.y2015.html,2015
Putting from - 15-20',https://www.pgatour.com/stats/stat.406.y2015.html,2015
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2015.html,2015
Putting from 10',https://www.pgatour.com/stats/stat.348.y2015.html,2015
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2015.html,2015
Putting from 3',https://www.pgatour.com/stats/stat.341.y2015.html,2015
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2015.html,2015
Putting from 4',https://www.pgatour.com/stats/stat.342.y2015.html,2015
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2015.html,2015
Putting from 5',https://www.pgatour.com/stats/stat.343.y2015.html,2015
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2015.html,2015
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2015.html,2015
Putting from 6',https://www.pgatour.com/stats/stat.344.y2015.html,2015
Putting from 7',https://www.pgatour.com/stats/stat.345.y2015.html,2015
Putting from 8',https://www.pgatour.com/stats/stat.346.y2015.html,2015
Putting from 9',https://www.pgatour.com/stats/stat.347.y2015.html,2015
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2015.html,2015
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2015.html,2015
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2015.html,2015
Putting - Inside 10',https://www.pgatour.com/stats/stat.484.y2016.html,2016
Putting from - > 10',https://www.pgatour.com/stats/stat.356.y2016.html,2016
Putting from - > 20',https://www.pgatour.com/stats/stat.02429.y2016.html,2016
Putting from - > 25',https://www.pgatour.com/stats/stat.408.y2016.html,2016
Putting from - 10-15',https://www.pgatour.com/stats/stat.405.y2016.html,2016
Putting from - 15-20',https://www.pgatour.com/stats/stat.406.y2016.html,2016
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2016.html,2016
Putting from 10',https://www.pgatour.com/stats/stat.348.y2016.html,2016
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2016.html,2016
Putting from 3',https://www.pgatour.com/stats/stat.341.y2016.html,2016
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2016.html,2016
Putting from 4',https://www.pgatour.com/stats/stat.342.y2016.html,2016
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2016.html,2016
Putting from 5',https://www.pgatour.com/stats/stat.343.y2016.html,2016
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2016.html,2016
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2016.html,2016
Putting from 6',https://www.pgatour.com/stats/stat.344.y2016.html,2016
Putting from 7',https://www.pgatour.com/stats/stat.345.y2016.html,2016
Putting from 8',https://www.pgatour.com/stats/stat.346.y2016.html,2016
Putting from 9',https://www.pgatour.com/stats/stat.347.y2016.html,2016
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2016.html,2016
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2016.html,2016
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2016.html,2016
Putting - Inside 10',https://www.pgatour.com/stats/stat.484.y2017.html,2017
Putting from - > 10',https://www.pgatour.com/stats/stat.356.y2017.html,2017
Putting from - > 20',https://www.pgatour.com/stats/stat.02429.y2017.html,2017
Putting from - > 25',https://www.pgatour.com/stats/stat.408.y2017.html,2017
Putting from - 10-15',https://www.pgatour.com/stats/stat.405.y2017.html,2017
Putting from - 15-20',https://www.pgatour.com/stats/stat.406.y2017.html,2017
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2017.html,2017
Putting from 10',https://www.pgatour.com/stats/stat.348.y2017.html,2017
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2017.html,2017
Putting from 3',https://www.pgatour.com/stats/stat.341.y2017.html,2017
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2017.html,2017
Putting from 4',https://www.pgatour.com/stats/stat.342.y2017.html,2017
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2017.html,2017
Putting from 5',https://www.pgatour.com/stats/stat.343.y2017.html,2017
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2017.html,2017
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2017.html,2017
Putting from 6',https://www.pgatour.com/stats/stat.344.y2017.html,2017
Putting from 7',https://www.pgatour.com/stats/stat.345.y2017.html,2017
Putting from 8',https://www.pgatour.com/stats/stat.346.y2017.html,2017
Putting from 9',https://www.pgatour.com/stats/stat.347.y2017.html,2017
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2017.html,2017
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2017.html,2017
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2017.html,2017
Putting - Inside 10',https://www.pgatour.com/stats/stat.484.y2018.html,2018
Putting from - > 10',https://www.pgatour.com/stats/stat.356.y2018.html,2018
Putting from - > 20',https://www.pgatour.com/stats/stat.02429.y2018.html,2018
Putting from - > 25',https://www.pgatour.com/stats/stat.408.y2018.html,2018
Putting from - 10-15',https://www.pgatour.com/stats/stat.405.y2018.html,2018
Putting from - 15-20',https://www.pgatour.com/stats/stat.406.y2018.html,2018
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2018.html,2018
Putting from 10',https://www.pgatour.com/stats/stat.348.y2018.html,2018
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2018.html,2018
Putting from 3',https://www.pgatour.com/stats/stat.341.y2018.html,2018
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2018.html,2018
Putting from 4',https://www.pgatour.com/stats/stat.342.y2018.html,2018
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2018.html,2018
Putting from 5',https://www.pgatour.com/stats/stat.343.y2018.html,2018
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2018.html,2018
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2018.html,2018
Putting from 6',https://www.pgatour.com/stats/stat.344.y2018.html,2018
Putting from 7',https://www.pgatour.com/stats/stat.345.y2018.html,2018
Putting from 8',https://www.pgatour.com/stats/stat.346.y2018.html,2018
Putting from 9',https://www.pgatour.com/stats/stat.347.y2018.html,2018
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2018.html,2018
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2018.html,2018
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2018.html,2018
Putting - Inside 10',https://www.pgatour.com/stats/stat.484.y2019.html,2019
Putting from - > 10',https://www.pgatour.com/stats/stat.356.y2019.html,2019
Putting from - > 20',https://www.pgatour.com/stats/stat.02429.y2019.html,2019
Putting from - > 25',https://www.pgatour.com/stats/stat.408.y2019.html,2019
Putting from - 10-15',https://www.pgatour.com/stats/stat.405.y2019.html,2019
Putting from - 15-20',https://www.pgatour.com/stats/stat.406.y2019.html,2019
Putting from - 20-25',https://www.pgatour.com/stats/stat.407.y2019.html,2019
Putting from 10',https://www.pgatour.com/stats/stat.348.y2019.html,2019
Putting from 15-25',https://www.pgatour.com/stats/stat.02328.y2019.html,2019
Putting from 3',https://www.pgatour.com/stats/stat.341.y2019.html,2019
Putting from 3-5',https://www.pgatour.com/stats/stat.02427.y2019.html,2019
Putting from 4',https://www.pgatour.com/stats/stat.342.y2019.html,2019
Putting from 4-8',https://www.pgatour.com/stats/stat.485.y2019.html,2019
Putting from 5',https://www.pgatour.com/stats/stat.343.y2019.html,2019
Putting from 5-10',https://www.pgatour.com/stats/stat.404.y2019.html,2019
Putting from 5-15',https://www.pgatour.com/stats/stat.02327.y2019.html,2019
Putting from 6',https://www.pgatour.com/stats/stat.344.y2019.html,2019
Putting from 7',https://www.pgatour.com/stats/stat.345.y2019.html,2019
Putting from 8',https://www.pgatour.com/stats/stat.346.y2019.html,2019
Putting from 9',https://www.pgatour.com/stats/stat.347.y2019.html,2019
Putting from Inside 5',https://www.pgatour.com/stats/stat.403.y2019.html,2019
Putts Made Per Event Over 10',https://www.pgatour.com/stats/stat.434.y2019.html,2019
Putts Made Per Event Over 20',https://www.pgatour.com/stats/stat.435.y2019.html,2019
