RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
71,NA,Jimmy Walker,68,295.7,"34,894",118,2017,avg_driv_dist
72,NA,Patrick Reed,107,295.3,"51,971",176,2017,avg_driv_dist
73,NA,Louis Oosthuizen,69,295.2,"31,879",108,2017,avg_driv_dist
T74,NA,Shane Lowry,52,295.1,"24,200",82,2017,avg_driv_dist
T74,NA,Scott Piercy,70,295.1,"33,637",114,2017,avg_driv_dist
76,NA,Jordan Spieth,85,295,"43,660",148,2017,avg_driv_dist
77,NA,J.T. Poston,95,294.8,"50,117",170,2017,avg_driv_dist
T78,NA,Jason Dufner,89,294.5,"47,113",160,2017,avg_driv_dist
T78,NA,Hunter Mahan,73,294.5,"41,814",142,2017,avg_driv_dist
80,NA,Dominic Bozzelli,69,294.4,"38,278",130,2017,avg_driv_dist
T81,NA,Mackenzie Hughes,106,294.3,"61,211",208,2017,avg_driv_dist
T81,NA,Robert Streb,98,294.3,"52,980",180,2017,avg_driv_dist
83,NA,J.J. Henry,92,294.1,"50,585",172,2017,avg_driv_dist
T84,NA,Shawn Stefani,72,294,"39,985",136,2017,avg_driv_dist
T84,NA,Kevin Streelman,90,294,"51,736",176,2017,avg_driv_dist
T86,NA,James Hahn,96,293.9,"54,083",184,2017,avg_driv_dist
T86,NA,Morgan Hoffmann,92,293.9,"51,728",176,2017,avg_driv_dist
88,NA,Sam Saunders,76,293.6,"41,097",140,2017,avg_driv_dist
T89,NA,Julián Etulain,68,293.5,"36,978",126,2017,avg_driv_dist
T89,NA,Phil Mickelson,85,293.5,"46,956",160,2017,avg_driv_dist
T91,NA,Emiliano Grillo,90,293,"45,127",154,2017,avg_driv_dist
T91,NA,Patton Kizzire,84,293,"44,531",152,2017,avg_driv_dist
T93,NA,Aaron Baddeley,61,292.6,"31,014",106,2017,avg_driv_dist
T93,NA,Cameron Smith,86,292.6,"47,989",164,2017,avg_driv_dist
T95,NA,Jim Herman,77,292.5,"41,536",142,2017,avg_driv_dist
T95,NA,Cameron Percy,71,292.5,"38,027",130,2017,avg_driv_dist
97,NA,Bill Haas,92,292.3,"45,019",154,2017,avg_driv_dist
98,NA,Gonzalo Fernandez-Castaño,63,292.1,"32,720",112,2017,avg_driv_dist
T99,NA,Kelly Kraft,75,291.9,"41,453",142,2017,avg_driv_dist
T99,NA,Francesco Molinari,75,291.9,"38,535",132,2017,avg_driv_dist
101,NA,Retief Goosen,52,291.8,"26,843",92,2017,avg_driv_dist
102,NA,Ben Martin,86,291.7,"46,087",158,2017,avg_driv_dist
T103,NA,Rory Sabbatini,71,291.6,"37,911",130,2017,avg_driv_dist
T103,NA,Nick Taylor,97,291.6,"55,408",190,2017,avg_driv_dist
105,NA,J.J. Spaun,92,291.5,"50,146",172,2017,avg_driv_dist
T106,NA,Blayne Barber,77,291.2,"41,355",142,2017,avg_driv_dist
T106,NA,Richy Werenski,81,291.2,"43,102",148,2017,avg_driv_dist
108,NA,Danny Lee,93,291.1,"49,486",170,2017,avg_driv_dist
109,NA,Rafa Cabrera Bello,63,291,"27,934",96,2017,avg_driv_dist
110,NA,Adam Hadwin,98,290.7,"52,331",180,2017,avg_driv_dist
T111,NA,Branden Grace,70,290.6,"29,644",102,2017,avg_driv_dist
T111,NA,Pat Perez,93,290.6,"48,828",168,2017,avg_driv_dist
113,NA,Boo Weekley,75,289.9,"42,332",146,2017,avg_driv_dist
T114,NA,David Lingmerth,79,289.8,"38,828",134,2017,avg_driv_dist
T114,NA,Troy Merritt,82,289.8,"42,887",148,2017,avg_driv_dist
T116,NA,Brian Harman,104,289.6,"53,280",184,2017,avg_driv_dist
T116,NA,Michael Kim,94,289.6,"52,130",180,2017,avg_driv_dist
118,NA,Whee Kim,74,289.4,"39,354",136,2017,avg_driv_dist
119,NA,Scott Brown,95,289,"52,591",182,2017,avg_driv_dist
T120,NA,Jonas Blixt,74,288.8,"40,435",140,2017,avg_driv_dist
T120,NA,Ryo Ishikawa,56,288.8,"30,035",104,2017,avg_driv_dist
T122,NA,Kevin Kisner,105,288.7,"49,657",172,2017,avg_driv_dist
T122,NA,Brett Stegmaier,78,288.7,"41,573",144,2017,avg_driv_dist
T122,NA,Camilo Villegas,76,288.7,"41,579",144,2017,avg_driv_dist
125,NA,Si Woo Kim,80,288.4,"36,337",126,2017,avg_driv_dist
126,NA,Brad Fritsch,56,288.3,"29,988",104,2017,avg_driv_dist
T127,NA,Miguel Angel Carballo,63,288.1,"32,849",114,2017,avg_driv_dist
T127,NA,Johnson Wagner,71,288.1,"36,299",126,2017,avg_driv_dist
T129,NA,Russell Knox,75,288,"34,561",120,2017,avg_driv_dist
T129,NA,Ryan Moore,82,288,"40,894",142,2017,avg_driv_dist
131,NA,Rod Pampling,71,287.8,"40,864",142,2017,avg_driv_dist
132,NA,Steven Bowditch,59,287.3,"31,608",110,2017,avg_driv_dist
T133,NA,Jonathan Randolph,68,287.2,"33,887",118,2017,avg_driv_dist
T133,NA,Tyrone Van Aswegen,105,287.2,"53,412",186,2017,avg_driv_dist
T135,NA,John Huh,92,287.1,"48,229",168,2017,avg_driv_dist
T135,NA,Nicholas Lindheim,58,287.1,"32,151",112,2017,avg_driv_dist
T135,NA,C.T. Pan,88,287.1,"48,230",168,2017,avg_driv_dist
138,NA,Chris Kirk,89,287,"47,637",166,2017,avg_driv_dist
139,NA,Daniel Summerhays,100,286.9,"49,340",172,2017,avg_driv_dist
T140,NA,Zach Johnson,81,286.8,"41,872",146,2017,avg_driv_dist
T140,NA,Chris Stroud,67,286.8,"33,847",118,2017,avg_driv_dist
T142,NA,Derek Fathauer,81,286.5,"40,684",142,2017,avg_driv_dist
T142,NA,Geoff Ogilvy,80,286.5,"41,261",144,2017,avg_driv_dist
144,NA,Brett Drewitt,57,286.4,"30,356",106,2017,avg_driv_dist
145,NA,Webb Simpson,102,286.2,"54,381",190,2017,avg_driv_dist
146,NA,Kyle Reifers,96,286.1,"48,062",168,2017,avg_driv_dist
147,NA,Chad Campbell,97,285.6,"53,121",186,2017,avg_driv_dist
T148,NA,Fabián Gómez,61,285.1,"33,638",118,2017,avg_driv_dist
T148,NA,Tom Hoge,54,285.1,"26,226",92,2017,avg_driv_dist
T148,NA,Matt Kuchar,95,285.1,"47,892",168,2017,avg_driv_dist
151,NA,Ricky Barnes,100,284.9,"50,148",176,2017,avg_driv_dist
T152,NA,William McGirt,89,284.8,"44,995",158,2017,avg_driv_dist
T152,NA,Chez Reavie,98,284.8,"49,553",174,2017,avg_driv_dist
T152,NA,Michael Thompson,60,284.8,"31,903",112,2017,avg_driv_dist
155,NA,Ryan Blaum,100,284.1,"54,539",192,2017,avg_driv_dist
156,NA,Mark Anderson,54,283.8,"29,512",104,2017,avg_driv_dist
T157,NA,Ernie Els,52,283.6,"24,960",88,2017,avg_driv_dist
T157,NA,Kevin Na,86,283.6,"39,703",140,2017,avg_driv_dist
159,NA,Ian Poulter,72,283.5,"36,282",128,2017,avg_driv_dist
160,NA,Mark Hubbard,81,282.7,"39,581",140,2017,avg_driv_dist
161,NA,Vaughn Taylor,90,282.4,"47,446",168,2017,avg_driv_dist
162,NA,Peter Malnati,91,282.3,"45,737",162,2017,avg_driv_dist
163,NA,K.J. Choi,72,282.2,"34,993",124,2017,avg_driv_dist
164,NA,Alex Cejka,85,282.1,"41,184",146,2017,avg_driv_dist
165,NA,Chad Collins,66,281.4,"34,898",124,2017,avg_driv_dist
166,NA,David Hearn,93,281,"45,517",162,2017,avg_driv_dist
167,NA,Cameron Tringale,89,280.9,"44,390",158,2017,avg_driv_dist
168,NA,Brandt Snedeker,53,280.8,"25,829",92,2017,avg_driv_dist
169,NA,Steve Wheatcroft,51,280.5,"26,370",94,2017,avg_driv_dist
T170,NA,Roberto Castro,70,280.2,"34,749",124,2017,avg_driv_dist
T170,NA,Carl Pettersson,63,280.2,"33,066",118,2017,avg_driv_dist
172,NA,Wesley Bryan,95,279.6,"49,775",178,2017,avg_driv_dist
173,NA,Tim Wilkinson,64,279.5,"32,427",116,2017,avg_driv_dist
T174,NA,Spencer Levin,89,279,"45,191",162,2017,avg_driv_dist
T174,NA,Graeme McDowell,56,279,"30,128",108,2017,avg_driv_dist
176,NA,Ryan Armour,63,278.8,"32,898",118,2017,avg_driv_dist
177,NA,Brian Gay,82,278.7,"43,483",156,2017,avg_driv_dist
T178,NA,Ben Crane,86,278.5,"44,000",158,2017,avg_driv_dist
T178,NA,Luke Donald,50,278.5,"26,732",96,2017,avg_driv_dist
180,NA,D.A. Points,68,278.1,"37,816",136,2017,avg_driv_dist
181,NA,Greg Chalmers,75,278,"39,470",142,2017,avg_driv_dist
182,NA,Bryce Molder,74,277,"40,994",148,2017,avg_driv_dist
T183,NA,Steven Alker,69,276.9,"34,884",126,2017,avg_driv_dist
T183,NA,Billy Hurley III,80,276.9,"42,083",152,2017,avg_driv_dist
185,NA,Jason Bohn,75,275.9,"39,180",142,2017,avg_driv_dist
186,NA,Ken Duke,77,274.2,"38,939",142,2017,avg_driv_dist
187,NA,Søren Kjeldsen,58,273.6,"24,621",90,2017,avg_driv_dist
188,NA,Zac Blair,105,272.7,"51,820",190,2017,avg_driv_dist
189,NA,Brian Stuard,93,272.3,"44,109",162,2017,avg_driv_dist
190,NA,Jim Furyk,54,270.1,"25,388",94,2017,avg_driv_dist
