RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
T138,145,Russell Knox,30,294.3,"17,657",60,2005,avg_driv_dist
T138,139,Rikuya Hoshino,8,294.3,"2,354",8,2005,avg_driv_dist
140,117,Jason Dufner,18,294,"10,583",36,2005,avg_driv_dist
T141,T143,Freddie Jacobson,6,293.9,"3,527",12,2005,avg_driv_dist
T141,T135,Robert Streb,29,293.9,"17,049",58,2005,avg_driv_dist
T143,T146,Morgan Hoffmann,10,293.7,"5,874",20,2005,avg_driv_dist
T143,141,Brian Harman,30,293.7,"17,621",60,2005,avg_driv_dist
145,T148,George McNeill,15,293.6,"8,809",30,2005,avg_driv_dist
146,150,Ryan Palmer,20,293.5,"7,045",24,2005,avg_driv_dist
T147,142,Bill Haas,19,293.4,"11,148",38,2005,avg_driv_dist
T147,T151,Boo Weekley,14,293.4,"8,215",28,2005,avg_driv_dist
149,T143,Mark Hubbard,36,293.2,"21,107",72,2005,avg_driv_dist
150,T148,Brice Garnett,25,293,"14,650",50,2005,avg_driv_dist
T151,T151,Scott Brown,27,292.9,"15,818",54,2005,avg_driv_dist
T151,T146,"Ted Potter, Jr.",17,292.9,"9,957",34,2005,avg_driv_dist
T151,161,Wes Roach,24,292.9,"14,057",48,2005,avg_driv_dist
154,T165,Matthew NeSmith,28,292.8,"16,399",56,2005,avg_driv_dist
T155,T158,Brandt Snedeker,16,292.7,"9,366",32,2005,avg_driv_dist
T155,T155,Bo Van Pelt,17,292.7,"9,952",34,2005,avg_driv_dist
157,160,Daniel Chopra,8,292.6,"4,682",16,2005,avg_driv_dist
T158,T155,Roger Sloan,21,292.5,"12,285",42,2005,avg_driv_dist
T158,T155,Patton Kizzire,25,292.5,"14,623",50,2005,avg_driv_dist
160,233,Paul Casey,16,292.3,"4,677",16,2005,avg_driv_dist
161,162,Justin Thomas,18,292.2,"5,844",20,2005,avg_driv_dist
162,T151,Brian Gay,31,291.7,"18,088",62,2005,avg_driv_dist
163,T165,James Hahn,19,291.6,"11,079",38,2005,avg_driv_dist
T164,T165,Robert Allenby,6,291.3,"3,496",12,2005,avg_driv_dist
T164,T165,Joaquin Niemann,28,291.3,"11,651",40,2005,avg_driv_dist
166,154,John Huh,16,291.1,"9,314",32,2005,avg_driv_dist
167,163,Fabián Gómez,30,291,"17,461",60,2005,avg_driv_dist
T168,164,Chris Baker,23,290.9,"13,380",46,2005,avg_driv_dist
T168,170,Collin Morikawa,24,290.9,"9,308",32,2005,avg_driv_dist
170,171,Webb Simpson,12,290.8,"6,978",24,2005,avg_driv_dist
171,T165,Andrew Landry,22,290.3,"12,773",44,2005,avg_driv_dist
172,173,Davis Love III,6,289.8,"3,478",12,2005,avg_driv_dist
T173,T175,Arjun Atwal,12,289.6,"6,950",24,2005,avg_driv_dist
T173,T175,J.J. Henry,12,289.6,"6,950",24,2005,avg_driv_dist
T175,T177,Alex Cejka,15,289.5,"8,684",30,2005,avg_driv_dist
T175,174,Michael Thompson,21,289.5,"12,157",42,2005,avg_driv_dist
T175,T184,J.T. Poston,32,289.5,"13,897",48,2005,avg_driv_dist
178,179,Chad Campbell,10,289.4,"5,787",20,2005,avg_driv_dist
179,172,Russell Henley,25,289.2,"14,458",50,2005,avg_driv_dist
180,T180,Whee Kim,6,289,"1,156",4,2005,avg_driv_dist
181,T158,Andrew Putnam,24,288.9,"6,934",24,2005,avg_driv_dist
182,T177,Troy Merritt,24,288.8,"9,241",32,2005,avg_driv_dist
