RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:PUTTING,MEASURED ROUNDS,year,measure
99,99,Anirban Lahiri,72,-0.02,-0.959,48,2016,sg_putting
100,100,Louis Oosthuizen,63,-0.021,-0.898,42,2016,sg_putting
101,101,Brian Stuard,66,-0.022,-1.34,60,2016,sg_putting
102,124,Hideki Matsuyama,76,-0.025,-1.472,58,2016,sg_putting
103,103,Will Wilcox,67,-0.027,-1.533,57,2016,sg_putting
104,104,Rob Oppenheim,67,-0.038,-1.931,51,2016,sg_putting
105,105,Erik Compton,65,-0.04,-2.058,51,2016,sg_putting
106,102,Russell Knox,92,-0.054,-3.5,65,2016,sg_putting
107,113,Emiliano Grillo,93,-0.056,-4.058,73,2016,sg_putting
108,106,Cameron Smith,73,-0.057,-2.619,46,2016,sg_putting
T109,T107,Dawie van der Walt,72,-0.061,-3.442,56,2016,sg_putting
T109,T107,Brett Stegmaier,87,-0.061,-4.545,75,2016,sg_putting
T111,T109,Tyrone Van Aswegen,105,-0.064,-5.648,88,2016,sg_putting
T111,T109,Scott Pinckney,87,-0.064,-4.514,71,2016,sg_putting
113,112,Tom Hoge,81,-0.07,-4.381,63,2016,sg_putting
114,114,Tony Finau,95,-0.088,-6.838,78,2016,sg_putting
115,115,Charley Hoffman,91,-0.092,-6.516,71,2016,sg_putting
T116,T116,Ryan Palmer,86,-0.094,-7.314,78,2016,sg_putting
T116,T116,Vijay Singh,72,-0.094,-6.09,65,2016,sg_putting
118,122,Si Woo Kim,113,-0.102,-10.05,99,2016,sg_putting
119,118,Kyle Stanley,92,-0.103,-8.1,79,2016,sg_putting
120,119,Branden Grace,63,-0.105,-4.403,42,2016,sg_putting
121,120,Jason Gore,78,-0.109,-6.561,60,2016,sg_putting
122,111,J.B. Holmes,77,-0.129,-7.886,61,2016,sg_putting
123,123,Tyler Aldridge,83,-0.13,-8.682,67,2016,sg_putting
124,129,Charl Schwartzel,73,-0.137,-7.649,56,2016,sg_putting
125,125,Michael Thompson,71,-0.151,-8.18,54,2016,sg_putting
126,126,Nick Taylor,83,-0.154,-10.16,66,2016,sg_putting
127,T127,Mark Wilson,66,-0.155,-8.532,55,2016,sg_putting
128,T127,Gary Woodland,95,-0.162,-12.638,78,2016,sg_putting
129,121,Adam Scott,79,-0.168,-9.406,56,2016,sg_putting
130,130,Bill Haas,86,-0.174,-11.157,64,2016,sg_putting
131,146,Justin Thomas,99,-0.185,-13.896,75,2016,sg_putting
132,131,John Huh,86,-0.187,-14.782,79,2016,sg_putting
T133,T132,Lucas Glover,75,-0.192,-12.866,67,2016,sg_putting
T133,T132,Chesson Hadley,81,-0.192,-12.889,67,2016,sg_putting
135,134,Patrick Rodgers,89,-0.193,-13.719,71,2016,sg_putting
136,135,Justin Rose,65,-0.197,-9.639,49,2016,sg_putting
137,T136,Graeme McDowell,63,-0.199,-8.967,45,2016,sg_putting
138,138,Robert Garrigus,69,-0.2,-10.975,55,2016,sg_putting
139,140,Rory McIlroy,69,-0.207,-9.939,48,2016,sg_putting
140,139,Jerry Kelly,76,-0.214,-12.848,60,2016,sg_putting
141,141,Whee Kim,82,-0.219,-14.208,65,2016,sg_putting
142,142,Danny Lee,93,-0.221,-15.698,71,2016,sg_putting
143,143,Chad Campbell,90,-0.223,-17.875,80,2016,sg_putting
144,144,Boo Weekley,83,-0.225,-15.978,71,2016,sg_putting
145,145,Graham DeLaet,70,-0.227,-13.371,59,2016,sg_putting
146,147,Carlos Ortiz,79,-0.242,-14.777,61,2016,sg_putting
147,148,James Hahn,85,-0.243,-16.989,70,2016,sg_putting
148,149,Roberto Castro,97,-0.257,-22.642,88,2016,sg_putting
149,150,Chez Reavie,90,-0.262,-19.913,76,2016,sg_putting
150,151,Rhein Gibson,58,-0.266,-11.705,44,2016,sg_putting
151,152,J.J. Henry,68,-0.269,-16.396,61,2016,sg_putting
152,153,Luke List,79,-0.273,-17.737,65,2016,sg_putting
153,154,Brendan Steele,88,-0.287,-19.769,69,2016,sg_putting
154,155,Jason Kokrak,89,-0.288,-21.628,75,2016,sg_putting
155,157,Scott Piercy,87,-0.292,-18.967,65,2016,sg_putting
156,158,Francesco Molinari,64,-0.296,-16.896,57,2016,sg_putting
157,159,Scott Stallings,74,-0.305,-19.225,63,2016,sg_putting
158,160,Kevin Chappell,93,-0.307,-23.948,78,2016,sg_putting
159,161,Matt Jones,83,-0.314,-19.755,63,2016,sg_putting
160,162,Jim Herman,93,-0.318,-22.564,71,2016,sg_putting
161,163,Kevin Streelman,82,-0.326,-20.863,64,2016,sg_putting
162,164,Shawn Stefani,91,-0.336,-25.84,77,2016,sg_putting
163,165,Padraig Harrington,54,-0.342,-15.051,44,2016,sg_putting
164,167,Ángel Cabrera,62,-0.347,-16.986,49,2016,sg_putting
165,169,Jason Dufner,105,-0.353,-27.865,79,2016,sg_putting
166,168,Harold Varner III,92,-0.357,-28.59,80,2016,sg_putting
167,166,Bubba Watson,72,-0.367,-18.693,51,2016,sg_putting
168,170,Sergio Garcia,54,-0.388,-12.029,31,2016,sg_putting
169,171,Robert Streb,87,-0.396,-26.163,66,2016,sg_putting
170,172,Stewart Cink,61,-0.398,-19.512,49,2016,sg_putting
171,173,Jeff Overton,69,-0.416,-24.134,58,2016,sg_putting
172,174,Abraham Ancer,51,-0.421,-15.98,38,2016,sg_putting
173,175,Vaughn Taylor,72,-0.424,-28.391,67,2016,sg_putting
174,176,Geoff Ogilvy,63,-0.437,-21.846,50,2016,sg_putting
175,178,Rod Pampling,54,-0.475,-17.59,37,2016,sg_putting
176,179,Will MacKenzie,84,-0.479,-31.646,66,2016,sg_putting
177,180,Webb Simpson,70,-0.482,-27.946,58,2016,sg_putting
178,181,George McNeill,51,-0.485,-22.315,46,2016,sg_putting
179,182,Robert Allenby,51,-0.491,-20.117,41,2016,sg_putting
180,183,Ken Duke,58,-0.524,-25.147,48,2016,sg_putting
181,184,Derek Ernst,59,-0.556,-23.907,43,2016,sg_putting
182,185,D.A. Points,55,-0.596,-23.247,39,2016,sg_putting
183,186,Keegan Bradley,82,-0.631,-39.747,63,2016,sg_putting
184,187,Rory Sabbatini,57,-0.945,-36.836,39,2016,sg_putting
185,188,Greg Owen,85,-0.987,-68.137,69,2016,sg_putting
