RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
T58,T58,Zach Johnson,24,161,153,8,2013,total_driving
T58,T58,"Ted Potter, Jr.",22,161,144,17,2013,total_driving
T61,T61,Pat Perez,22,162,71,91,2013,total_driving
T61,T61,John Rollins,24,162,31,131,2013,total_driving
63,63,Brad Fritsch,24,163,26,137,2013,total_driving
T64,T64,Harris English,26,164,35,129,2013,total_driving
T64,T64,Rory Sabbatini,27,164,50,114,2013,total_driving
T66,T66,Greg Owen,24,165,53,112,2013,total_driving
T66,T66,Cameron Percy,21,165,45,120,2013,total_driving
T66,T66,Y.E. Yang,19,165,101,64,2013,total_driving
T69,T69,Brian Davis,28,166,153,13,2013,total_driving
T69,T69,Derek Ernst,21,166,61,105,2013,total_driving
T69,T69,Doug LaBelle II,23,166,145,21,2013,total_driving
T69,T69,Webb Simpson,25,166,111,55,2013,total_driving
T69,T69,Brian Stuard,25,166,134,32,2013,total_driving
74,74,Bill Haas,25,167,90,77,2013,total_driving
T75,T75,Vijay Singh,19,168,91,77,2013,total_driving
T75,T75,Andrew Svoboda,18,168,71,97,2013,total_driving
77,77,Robert Garrigus,22,169,7,162,2013,total_driving
T78,T78,Nicolas Colsaerts,17,170,3,167,2013,total_driving
T78,T78,Ben Kohles,25,170,151,19,2013,total_driving
T78,T78,D.H. Lee,22,170,140,30,2013,total_driving
T81,T81,Bob Estes,18,171,115,56,2013,total_driving
T81,T81,Jeff Maggert,21,171,160,11,2013,total_driving
83,83,Sean O'Hair,22,172,14,158,2013,total_driving
T84,T84,Jim Furyk,22,173,169,4,2013,total_driving
T84,T84,Dustin Johnson,22,173,2,171,2013,total_driving
T84,T84,Richard Lee,24,173,149,24,2013,total_driving
87,87,Morgan Hoffmann,20,175,32,143,2013,total_driving
T88,T88,Martin Kaymer,17,176,87,89,2013,total_driving
T88,T88,Graeme McDowell,16,176,161,15,2013,total_driving
T90,T90,Will Claxton,24,178,116,62,2013,total_driving
T90,T90,James Hahn,26,178,48,130,2013,total_driving
T90,T90,Jerry Kelly,22,178,177,1,2013,total_driving
T90,T90,Jason Kokrak,25,178,6,172,2013,total_driving
T94,T94,Tim Clark,20,180,175,5,2013,total_driving
T94,T94,Ken Duke,28,180,170,10,2013,total_driving
T94,T94,Martin Flores,25,180,12,168,2013,total_driving
97,97,Luke List,24,181,1,180,2013,total_driving
98,98,Rickie Fowler,22,183,103,80,2013,total_driving
99,99,John Senden,25,184,82,102,2013,total_driving
T100,T100,Chad Campbell,25,185,85,100,2013,total_driving
T100,T100,Tag Ridings,24,185,15,170,2013,total_driving
102,102,Ricky Barnes,26,186,80,106,2013,total_driving
T103,T103,Stuart Appleby,25,187,119,68,2013,total_driving
T103,T103,Steven Bowditch,22,187,13,174,2013,total_driving
T103,T103,K.J. Choi,24,187,156,31,2013,total_driving
T106,T106,Peter Hanson,15,188,34,154,2013,total_driving
T106,T106,David Toms,16,188,162,26,2013,total_driving
T108,T108,Jin Park,20,189,177,12,2013,total_driving
T108,T108,Carl Pettersson,24,189,70,119,2013,total_driving
T108,T108,Shawn Stefani,21,189,25,164,2013,total_driving
T111,T111,Scott Piercy,24,190,21,169,2013,total_driving
T111,T111,Darron Stiles,20,190,170,20,2013,total_driving
T111,T111,Camilo Villegas,23,190,59,131,2013,total_driving
T111,T111,Charlie Wi,23,190,132,58,2013,total_driving
115,115,Daniel Summerhays,26,191,110,81,2013,total_driving
116,116,D.A. Points,28,192,138,54,2013,total_driving
117,117,Brian Harman,29,195,94,101,2013,total_driving
T118,T118,Ángel Cabrera,21,196,40,156,2013,total_driving
T118,T118,Seung-Yul Noh,25,196,18,178,2013,total_driving
T118,T118,Jimmy Walker,24,196,20,176,2013,total_driving
121,121,Jeff Overton,24,197,55,142,2013,total_driving
T122,T122,Chris Kirk,24,198,83,115,2013,total_driving
T122,T122,Andres Romero,21,198,50,148,2013,total_driving
124,124,Troy Matteson,24,199,38,161,2013,total_driving
125,125,Jason Bohn,23,201,166,35,2013,total_driving
T126,T126,Rod Pampling,16,204,129,75,2013,total_driving
T126,T126,Brandt Snedeker,23,204,137,67,2013,total_driving
T128,T128,Erik Compton,24,205,54,151,2013,total_driving
T128,T128,Bobby Gates,20,205,28,177,2013,total_driving
T128,T128,Robert Karlsson,18,205,98,107,2013,total_driving
131,131,Colt Knost,25,206,179,27,2013,total_driving
132,132,Ian Poulter,16,207,136,71,2013,total_driving
T133,T133,Bryce Molder,24,209,176,33,2013,total_driving
T133,T133,Geoff Ogilvy,19,209,114,95,2013,total_driving
135,135,Charles Howell III,26,210,37,173,2013,total_driving
T136,T136,Brian Gay,24,212,170,42,2013,total_driving
T136,T136,Dicky Pride,23,212,174,38,2013,total_driving
T138,T138,David Mathis,24,213,142,71,2013,total_driving
T138,T138,William McGirt,24,213,134,79,2013,total_driving
T140,T140,Matt Every,28,214,91,123,2013,total_driving
T140,T140,Justin Leonard,24,214,166,48,2013,total_driving
142,142,Patrick Reed,26,215,58,157,2013,total_driving
143,143,Bud Cauley,24,216,94,122,2013,total_driving
T144,T144,Luke Donald,17,217,157,60,2013,total_driving
T144,T144,Tommy Gainey,28,217,64,153,2013,total_driving
146,146,Trevor Immelman,24,218,124,94,2013,total_driving
T147,T147,Ernie Els,19,220,77,143,2013,total_driving
T147,T147,Luke Guthrie,27,220,127,93,2013,total_driving
T147,T147,Aaron Watkins,19,220,163,57,2013,total_driving
T150,T150,Scott Gardiner,23,221,87,134,2013,total_driving
T150,T150,Ryo Ishikawa,23,221,62,159,2013,total_driving
152,152,Scott Langley,27,222,152,70,2013,total_driving
153,153,Stewart Cink,22,223,73,150,2013,total_driving
154,154,Padraig Harrington,17,224,89,135,2013,total_driving
155,155,John Merrick,23,226,122,104,2013,total_driving
T156,T156,Greg Chalmers,25,227,165,62,2013,total_driving
T156,T156,Marc Leishman,23,227,102,125,2013,total_driving
158,158,David Hearn,26,228,147,81,2013,total_driving
159,159,Ben Crane,21,234,139,95,2013,total_driving
160,160,Michael Thompson,22,236,148,88,2013,total_driving
161,161,Chris Stroud,26,237,164,73,2013,total_driving
162,162,Justin Bolli,23,238,149,89,2013,total_driving
163,163,Matt Kuchar,23,240,116,124,2013,total_driving
164,164,Phil Mickelson,21,242,93,149,2013,total_driving
165,165,Sangmoon Bae,26,247,112,135,2013,total_driving
166,166,Freddie Jacobson,19,252,97,155,2013,total_driving
167,167,Robert Allenby,24,257,116,141,2013,total_driving
168,168,Alistair Presnell,23,260,121,139,2013,total_driving
169,169,Aaron Baddeley,24,265,86,179,2013,total_driving
170,170,James Driscoll,23,266,100,166,2013,total_driving
171,171,Michael Bradley,21,272,112,160,2013,total_driving
172,172,Stephen Ames,19,274,141,133,2013,total_driving
173,173,Jonas Blixt,24,275,123,152,2013,total_driving
174,174,Ben Curtis,20,276,173,103,2013,total_driving
T175,T175,David Lynn,22,280,159,121,2013,total_driving
T175,T175,Lee Williams,22,280,168,112,2013,total_driving
177,177,Johnson Wagner,24,283,155,128,2013,total_driving
178,178,Tim Herron,15,299,124,175,2013,total_driving
179,179,Casey Wittenberg,27,308,143,165,2013,total_driving
180,180,Mike Weir,22,343,180,163,2013,total_driving
