RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
96,96,Todd Hamilton,83,0.055,3.491,64,2009,sg_off_tee
97,97,J.J. Henry,97,0.03,2.485,84,2009,sg_off_tee
98,98,Rocco Mediate,79,0.029,1.939,66,2009,sg_off_tee
99,99,Billy Mayfair,83,0.02,1.367,69,2009,sg_off_tee
100,100,Kevin Stadler,65,0.018,0.974,54,2009,sg_off_tee
101,101,Justin Leonard,95,0.008,0.575,75,2009,sg_off_tee
102,102,Kent Jones,73,0.004,0.247,61,2009,sg_off_tee
103,103,Adam Scott,53,-0.005,-0.19,42,2009,sg_off_tee
T104,T104,Alex Cejka,82,-0.006,-0.392,71,2009,sg_off_tee
T104,T104,K.J. Choi,65,-0.006,-0.299,50,2009,sg_off_tee
T106,T106,Briny Baird,89,-0.012,-0.851,72,2009,sg_off_tee
T106,T106,Colt Knost,71,-0.012,-0.653,56,2009,sg_off_tee
108,108,Jeff Klauk,97,-0.016,-1.386,88,2009,sg_off_tee
109,109,Jeff Overton,92,-0.017,-1.301,76,2009,sg_off_tee
110,110,George McNeill,82,-0.02,-1.548,76,2009,sg_off_tee
111,111,Jim Furyk,86,-0.021,-1.363,65,2009,sg_off_tee
112,112,Daniel Chopra,89,-0.022,-1.79,83,2009,sg_off_tee
113,113,Woody Austin,84,-0.036,-2.76,76,2009,sg_off_tee
114,114,Brandt Snedeker,81,-0.037,-2.385,65,2009,sg_off_tee
115,115,Ricky Barnes,67,-0.042,-2.122,51,2009,sg_off_tee
116,116,Matt Bettencourt,98,-0.046,-4.007,87,2009,sg_off_tee
117,117,Patrick Sheehan,51,-0.05,-1.934,39,2009,sg_off_tee
118,118,Harrison Frazar,93,-0.056,-4.737,84,2009,sg_off_tee
119,119,Chad Campbell,90,-0.057,-4.057,71,2009,sg_off_tee
120,120,Pat Perez,74,-0.074,-4.587,62,2009,sg_off_tee
121,121,Ken Duke,87,-0.077,-5.444,71,2009,sg_off_tee
122,122,Jay Williamson,69,-0.084,-4.765,57,2009,sg_off_tee
123,123,Mark Calcavecchia,72,-0.095,-5.885,62,2009,sg_off_tee
124,124,Bart Bryant,58,-0.106,-5.492,52,2009,sg_off_tee
125,125,Cliff Kresge,78,-0.108,-7.213,67,2009,sg_off_tee
126,126,Bob Estes,78,-0.128,-8.798,69,2009,sg_off_tee
127,127,Casey Wittenberg,71,-0.132,-7.129,54,2009,sg_off_tee
128,128,Chris Stroud,88,-0.133,-10.123,76,2009,sg_off_tee
129,129,Glen Day,79,-0.139,-8.887,64,2009,sg_off_tee
130,130,Scott Sterling,51,-0.14,-5.595,40,2009,sg_off_tee
131,131,Kevin Na,91,-0.141,-10.982,78,2009,sg_off_tee
132,132,Ryan Palmer,78,-0.143,-10.023,70,2009,sg_off_tee
133,133,Rick Price,54,-0.154,-6.307,41,2009,sg_off_tee
134,134,Peter Lonard,86,-0.166,-12.765,77,2009,sg_off_tee
135,135,Charlie Wi,92,-0.167,-13.209,79,2009,sg_off_tee
136,136,Vaughn Taylor,88,-0.188,-14.87,79,2009,sg_off_tee
137,137,Cameron Beckman,87,-0.191,-14.336,75,2009,sg_off_tee
138,138,Matt Weibring,65,-0.193,-10.61,55,2009,sg_off_tee
139,139,Johnson Wagner,81,-0.197,-14.588,74,2009,sg_off_tee
T140,T140,Chez Reavie,81,-0.203,-14.219,70,2009,sg_off_tee
T140,T140,Gary Woodland,53,-0.203,-7.515,37,2009,sg_off_tee
142,142,Nick O'Hern,90,-0.205,-17.417,85,2009,sg_off_tee
143,143,Joe Ogilvie,85,-0.218,-16.807,77,2009,sg_off_tee
144,144,Greg Chalmers,85,-0.221,-15.704,71,2009,sg_off_tee
145,145,Stuart Appleby,79,-0.222,-14.435,65,2009,sg_off_tee
146,146,Matt Jones,56,-0.234,-10.543,45,2009,sg_off_tee
147,147,Marc Turnesa,77,-0.237,-16.853,71,2009,sg_off_tee
148,148,Tom Pernice Jr.,82,-0.245,-18.397,75,2009,sg_off_tee
149,149,Chris DiMarco,97,-0.264,-22.969,87,2009,sg_off_tee
150,150,David Mathis,82,-0.266,-18.32,69,2009,sg_off_tee
151,151,Mike Weir,85,-0.276,-18.503,67,2009,sg_off_tee
T152,T152,Brett Quigley,92,-0.297,-22.285,75,2009,sg_off_tee
T152,T152,Webb Simpson,94,-0.297,-25.821,87,2009,sg_off_tee
154,154,Steve Flesch,77,-0.301,-18.931,63,2009,sg_off_tee
155,155,Padraig Harrington,66,-0.315,-15.135,48,2009,sg_off_tee
156,156,Bryce Molder,69,-0.321,-17.329,54,2009,sg_off_tee
157,157,Brian Gay,96,-0.322,-26.403,82,2009,sg_off_tee
T158,T158,Bob Heintz,59,-0.326,-16.645,51,2009,sg_off_tee
T158,T158,Carl Pettersson,86,-0.326,-24.145,74,2009,sg_off_tee
160,160,Lee Janzen,74,-0.331,-20.18,61,2009,sg_off_tee
161,161,Freddie Jacobson,83,-0.334,-24.392,73,2009,sg_off_tee
162,162,Brad Adamonis,70,-0.339,-20.688,61,2009,sg_off_tee
163,163,Chris Riley,77,-0.342,-22.919,67,2009,sg_off_tee
164,164,Derek Fathauer,63,-0.35,-17.874,51,2009,sg_off_tee
165,165,Nathan Green,104,-0.407,-37.482,92,2009,sg_off_tee
166,166,Aron Price,89,-0.456,-35.113,77,2009,sg_off_tee
167,167,Aaron Baddeley,66,-0.459,-26.638,58,2009,sg_off_tee
168,168,Mark Brooks,55,-0.49,-19.581,40,2009,sg_off_tee
169,169,Spencer Levin,75,-0.493,-33.041,67,2009,sg_off_tee
170,170,Richard Johnson,85,-0.503,-37.24,74,2009,sg_off_tee
171,171,Luke Donald,79,-0.54,-32.922,61,2009,sg_off_tee
172,172,Jeff Quinney,78,-0.563,-39.963,71,2009,sg_off_tee
173,173,Jimmy Walker,74,-0.574,-36.707,64,2009,sg_off_tee
174,174,Greg Kraft,51,-0.581,-23.802,41,2009,sg_off_tee
175,175,Ryuji Imada,85,-0.583,-40.231,69,2009,sg_off_tee
176,176,Leif Olson,51,-0.599,-25.761,43,2009,sg_off_tee
177,177,Brian Bateman,55,-0.64,-30.705,48,2009,sg_off_tee
178,178,Brendon Todd,53,-0.792,-37.231,47,2009,sg_off_tee
179,179,Dean Wilson,81,-0.957,-67.018,70,2009,sg_off_tee
180,180,Corey Pavin,73,-0.974,-52.598,54,2009,sg_off_tee
181,181,Brad Faxon,59,-1.03,-53.581,52,2009,sg_off_tee
182,182,Parker McLachlin,71,-1.036,-69.408,67,2009,sg_off_tee
183,183,David Duval,56,-1.33,-58.501,44,2009,sg_off_tee
184,184,Eric Axley,71,-1.441,-85.002,59,2009,sg_off_tee
