RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
T58,T58,Beau Hossler,104,300,"62,394",208,2018,avg_driv_dist
T61,T61,Rickie Fowler,74,299.8,"44,363",148,2018,avg_driv_dist
T61,T61,Louis Oosthuizen,62,299.8,"32,383",108,2018,avg_driv_dist
T61,T61,Jordan Spieth,81,299.8,"45,563",152,2018,avg_driv_dist
64,64,Scott Stallings,96,299.7,"51,556",172,2018,avg_driv_dist
T65,T65,Keegan Bradley,98,299.6,"50,932",170,2018,avg_driv_dist
T65,T65,Shawn Stefani,76,299.6,"44,338",148,2018,avg_driv_dist
T67,T67,Charley Hoffman,87,299.5,"47,912",160,2018,avg_driv_dist
T67,T67,Charl Schwartzel,65,299.5,"27,557",92,2018,avg_driv_dist
T69,T69,Stephan Jaeger,81,299.2,"44,877",150,2018,avg_driv_dist
T69,T69,Alex Noren,67,299.2,"33,506",112,2018,avg_driv_dist
T71,T71,Martin Laird,73,299,"38,865",130,2018,avg_driv_dist
T71,T71,Ethan Tracy,72,299,"40,662",136,2018,avg_driv_dist
T71,T71,Jimmy Walker,81,299,"46,051",154,2018,avg_driv_dist
T74,T74,Talor Gooch,78,298.9,"43,039",144,2018,avg_driv_dist
T74,T74,Branden Grace,67,298.9,"31,089",104,2018,avg_driv_dist
76,76,Tyrrell Hatton,58,298.8,"29,878",100,2018,avg_driv_dist
T77,T77,James Hahn,85,298.7,"44,212",148,2018,avg_driv_dist
T77,T77,Patton Kizzire,92,298.7,"53,174",178,2018,avg_driv_dist
T77,T77,Xinjun Zhang,81,298.7,"42,417",142,2018,avg_driv_dist
80,80,Marc Leishman,93,298.5,"48,952",164,2018,avg_driv_dist
81,81,Cameron Smith,85,298.4,"41,770",140,2018,avg_driv_dist
82,82,J.J. Spaun,85,298.2,"47,108",158,2018,avg_driv_dist
T83,T83,Stewart Cink,87,298.1,"47,107",158,2018,avg_driv_dist
T83,T83,Patrick Reed,94,298.1,"46,509",156,2018,avg_driv_dist
T85,T85,Daniel Berger,81,297.7,"40,490",136,2018,avg_driv_dist
T85,T85,Lucas Glover,65,297.7,"29,171",98,2018,avg_driv_dist
87,87,Sam Ryder,82,297.3,"47,568",160,2018,avg_driv_dist
88,88,Jason Dufner,71,297.1,"35,652",120,2018,avg_driv_dist
89,89,Dominic Bozzelli,65,297,"38,614",130,2018,avg_driv_dist
90,90,Hunter Mahan,67,296.9,"37,415",126,2018,avg_driv_dist
91,91,Brice Garnett,99,296.7,"56,382",190,2018,avg_driv_dist
92,92,Scott Piercy,84,296.6,"45,088",152,2018,avg_driv_dist
93,93,Michael Thompson,62,296.4,"34,387",116,2018,avg_driv_dist
T94,T94,Retief Goosen,60,296.2,"30,806",104,2018,avg_driv_dist
T94,T94,Bill Haas,76,296.2,"41,474",140,2018,avg_driv_dist
96,96,Abraham Ancer,98,296.1,"56,850",192,2018,avg_driv_dist
97,97,Joel Dahmen,93,295.8,"50,290",170,2018,avg_driv_dist
98,98,Kyle Stanley,93,295.7,"44,940",152,2018,avg_driv_dist
99,99,Cameron Percy,56,295.6,"29,559",100,2018,avg_driv_dist
T100,T100,Bud Cauley,55,295.4,"26,582",90,2018,avg_driv_dist
T100,T100,Billy Horschel,86,295.4,"48,445",164,2018,avg_driv_dist
T100,T100,Denny McCarthy,71,295.4,"37,224",126,2018,avg_driv_dist
T100,T100,Troy Merritt,89,295.4,"50,222",170,2018,avg_driv_dist
T100,T100,Brett Stegmaier,67,295.4,"36,034",122,2018,avg_driv_dist
105,105,Aaron Baddeley,84,295.3,"46,068",156,2018,avg_driv_dist
106,106,Emiliano Grillo,94,295.2,"49,588",168,2018,avg_driv_dist
T107,T107,Rafa Cabrera Bello,75,295.1,"34,232",116,2018,avg_driv_dist
T107,T107,Kevin Streelman,94,295.1,"54,307",184,2018,avg_driv_dist
109,109,Mackenzie Hughes,80,294.9,"44,824",152,2018,avg_driv_dist
T110,T110,Kiradech Aphibarnrat,51,294.7,"24,757",84,2018,avg_driv_dist
T110,T110,Blayne Barber,69,294.7,"39,488",134,2018,avg_driv_dist
112,112,Tyler Duncan,97,294.4,"54,752",186,2018,avg_driv_dist
113,113,Matt Every,79,294.2,"44,123",150,2018,avg_driv_dist
114,114,Anirban Lahiri,82,294,"43,507",148,2018,avg_driv_dist
115,115,Nate Lashley,51,293.9,"27,629",94,2018,avg_driv_dist
116,116,Andrew Putnam,97,293.8,"52,295",178,2018,avg_driv_dist
117,117,Webb Simpson,95,293.7,"54,042",184,2018,avg_driv_dist
T118,T118,Satoshi Kodaira,51,293.6,"28,190",96,2018,avg_driv_dist
T118,T118,Ian Poulter,73,293.6,"32,879",112,2018,avg_driv_dist
120,120,Nicholas Lindheim,77,293.5,"40,507",138,2018,avg_driv_dist
121,121,Graeme McDowell,67,293.2,"32,252",110,2018,avg_driv_dist
T122,T122,Jonas Blixt,67,293.1,"31,072",106,2018,avg_driv_dist
T122,T122,Sung Kang,89,293.1,"45,143",154,2018,avg_driv_dist
T122,T122,Brandt Snedeker,84,293.1,"48,064",164,2018,avg_driv_dist
125,125,Russell Henley,77,293,"38,678",132,2018,avg_driv_dist
T126,T126,C.T. Pan,104,292.7,"52,679",180,2018,avg_driv_dist
T126,T126,Nick Taylor,94,292.7,"48,009",164,2018,avg_driv_dist
T128,T128,Scott Brown,102,292.6,"52,663",180,2018,avg_driv_dist
T128,T128,Robert Streb,78,292.6,"38,628",132,2018,avg_driv_dist
T130,T130,Austin Cook,107,292.3,"62,543",214,2018,avg_driv_dist
T130,T130,Rory Sabbatini,91,292.3,"52,026",178,2018,avg_driv_dist
132,132,Martin Piller,79,292.2,"45,000",154,2018,avg_driv_dist
T133,T133,Zecheng Dou,53,291.9,"26,270",90,2018,avg_driv_dist
T133,T133,Brian Harman,94,291.9,"47,866",164,2018,avg_driv_dist
T135,T135,J.J. Henry,81,291.8,"43,765",150,2018,avg_driv_dist
T135,T135,Richy Werenski,98,291.8,"51,355",176,2018,avg_driv_dist
T137,T137,Jonathan Byrd,70,291.7,"36,168",124,2018,avg_driv_dist
T137,T137,Russell Knox,94,291.7,"50,170",172,2018,avg_driv_dist
139,139,Henrik Stenson,60,291.5,"30,319",104,2018,avg_driv_dist
140,140,Tom Hoge,101,291.4,"54,199",186,2018,avg_driv_dist
141,141,Conrad Shindler,60,291.3,"32,621",112,2018,avg_driv_dist
T142,T142,Fabián Gómez,88,291.1,"48,903",168,2018,avg_driv_dist
T142,T142,Andrew Landry,82,291.1,"46,569",160,2018,avg_driv_dist
T144,T144,Peter Malnati,87,290.9,"48,282",166,2018,avg_driv_dist
T144,T144,Pat Perez,82,290.9,"36,659",126,2018,avg_driv_dist
T146,T146,Si Woo Kim,108,290.8,"53,512",184,2018,avg_driv_dist
T146,T146,Kevin Kisner,89,290.8,"45,369",156,2018,avg_driv_dist
T148,T148,Ricky Barnes,65,290.6,"34,295",118,2018,avg_driv_dist
T148,T148,Danny Lee,88,290.6,"45,333",156,2018,avg_driv_dist
T148,T148,Andrew Yun,51,290.6,"26,153",90,2018,avg_driv_dist
151,151,Tyrone Van Aswegen,101,290.3,"53,713",185,2018,avg_driv_dist
152,152,Ben Silverman,90,290.2,"48,754",168,2018,avg_driv_dist
153,153,Michael Kim,74,289.9,"38,265",132,2018,avg_driv_dist
T154,T154,Zach Johnson,94,289.8,"50,427",174,2018,avg_driv_dist
T154,T154,Chris Kirk,108,289.8,"59,123",204,2018,avg_driv_dist
T154,T154,Chris Stroud,81,289.8,"37,675",130,2018,avg_driv_dist
T157,T157,Ben Martin,64,289.6,"37,069",128,2018,avg_driv_dist
T157,T157,Kevin Na,91,289.6,"45,175",156,2018,avg_driv_dist
T159,T159,Adam Hadwin,92,289.4,"44,574",154,2018,avg_driv_dist
T159,T159,Jonathan Randolph,71,289.4,"37,625",130,2018,avg_driv_dist
T161,T161,William McGirt,84,289.3,"45,130",156,2018,avg_driv_dist
T161,T161,Cameron Tringale,67,289.3,"36,450",126,2018,avg_driv_dist
163,163,Ryan Moore,78,289.2,"45,109",156,2018,avg_driv_dist
164,164,Derek Fathauer,84,289.1,"46,256",160,2018,avg_driv_dist
165,165,Ryan Blaum,81,289,"45,079",156,2018,avg_driv_dist
166,166,Steve Wheatcroft,60,288.9,"33,515",116,2018,avg_driv_dist
167,167,Kelly Kraft,94,288.6,"48,478",168,2018,avg_driv_dist
168,168,Rod Pampling,62,288.4,"28,842",100,2018,avg_driv_dist
169,169,Matt Kuchar,88,288,"43,781",152,2018,avg_driv_dist
T170,T170,John Huh,94,287.1,"51,686",180,2018,avg_driv_dist
T170,T170,Daniel Summerhays,51,287.1,"25,836",90,2018,avg_driv_dist
172,172,Alex Cejka,77,286.7,"39,567",138,2018,avg_driv_dist
T173,T173,Chad Campbell,87,286.5,"40,684",142,2018,avg_driv_dist
T173,T173,Chez Reavie,93,286.5,"42,402",148,2018,avg_driv_dist
175,175,Roberto Díaz,72,286.3,"38,935",136,2018,avg_driv_dist
T176,T176,Vaughn Taylor,83,286.1,"45,208",158,2018,avg_driv_dist
T176,T176,Johnson Wagner,75,286.1,"39,487",138,2018,avg_driv_dist
178,178,"Ted Potter, Jr.",87,286,"49,759",174,2018,avg_driv_dist
179,179,Whee Kim,93,285.8,"46,299",162,2018,avg_driv_dist
180,180,David Lingmerth,82,285.4,"44,515",156,2018,avg_driv_dist
181,181,Kyle Thompson,50,285.3,"26,249",92,2018,avg_driv_dist
182,182,Rob Oppenheim,74,285.2,"38,787",136,2018,avg_driv_dist
183,183,David Hearn,66,285.1,"34,210",120,2018,avg_driv_dist
184,184,Billy Hurley III,70,284,"36,354",128,2018,avg_driv_dist
185,185,Ryan Armour,109,283.5,"60,663",214,2018,avg_driv_dist
186,186,Brian Gay,103,282.9,"57,155",202,2018,avg_driv_dist
187,187,Greg Chalmers,56,282.8,"29,413",104,2018,avg_driv_dist
188,188,Ben Crane,65,281.1,"30,921",110,2018,avg_driv_dist
189,189,D.A. Points,63,280.8,"32,015",114,2018,avg_driv_dist
190,190,Jim Furyk,50,280.5,"26,930",96,2018,avg_driv_dist
191,191,Wesley Bryan,69,280.4,"30,844",110,2018,avg_driv_dist
192,192,Zac Blair,64,279.5,"32,427",116,2018,avg_driv_dist
193,193,Brian Stuard,103,278.9,"54,106",194,2018,avg_driv_dist
