RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,%,OFFICIAL MONEY WON,POTENTIAL MONEY,year,measure
T329,T329,Ronnie Black,2,0.76,"$12,294","$1,620,000",2008,pct_total_money_won
T329,T329,Jay Delsing,8,0.76,"$48,000","$6,282,000",2008,pct_total_money_won
331,331,Richard Johnson,29,0.72,"$200,209","$27,684,000",2008,pct_total_money_won
332,332,Michael Thompson,4,0.71,"$32,625","$4,590,000",2008,pct_total_money_won
333,333,Guy Boros,6,0.7,"$31,565","$4,518,000",2008,pct_total_money_won
334,334,Webb Simpson,6,0.67,"$38,460","$5,760,000",2008,pct_total_money_won
T335,T335,Mark Brooks,17,0.65,"$99,582","$15,408,000",2008,pct_total_money_won
T335,T335,Olin Browne,27,0.65,"$167,028","$25,830,000",2008,pct_total_money_won
T335,T335,Kyle Thompson,26,0.65,"$154,446","$23,616,000",2008,pct_total_money_won
T338,T338,David Frost,3,0.64,"$23,553","$3,676,875",2008,pct_total_money_won
T338,T338,David Lutterus,23,0.64,"$129,886","$20,160,000",2008,pct_total_money_won
T340,T340,Philip Archer,2,0.6,"$17,187","$2,848,875",2008,pct_total_money_won
T340,T340,David Duval,20,0.6,"$114,973","$19,228,875",2008,pct_total_money_won
342,342,Jonathan Moore,2,0.59,"$12,265","$2,070,000",2008,pct_total_money_won
T343,T343,Michael Campbell,6,0.58,"$48,053","$8,266,875",2008,pct_total_money_won
T343,T343,Paul Claxton,23,0.58,"$116,678","$20,016,000",2008,pct_total_money_won
T343,T343,Jim McGovern,26,0.58,"$136,088","$23,274,000",2008,pct_total_money_won
346,346,Chris Smith,5,0.55,"$22,775","$4,140,000",2008,pct_total_money_won
347,347,Robert Floyd,3,0.54,"$15,264","$2,826,000",2008,pct_total_money_won
348,348,Jonathan Kaye,8,0.52,"$41,375","$8,010,000",2008,pct_total_money_won
349,349,Jason Allred,23,0.5,"$100,596","$20,016,000",2008,pct_total_money_won
350,350,David Hearn,2,0.49,"$11,100","$2,250,000",2008,pct_total_money_won
351,351,Spike McRoy,4,0.48,"$15,640","$3,258,000",2008,pct_total_money_won
T352,T352,Paul Azinger,9,0.46,"$42,590","$9,234,000",2008,pct_total_money_won
T352,T352,Kirk Triplett,9,0.46,"$32,794","$7,128,000",2008,pct_total_money_won
354,354,Alan Morin,2,0.45,"$10,505","$2,340,000",2008,pct_total_money_won
T355,T355,Andrew Magee,3,0.44,"$12,238","$2,754,000",2008,pct_total_money_won
T355,T355,John Morse,7,0.44,"$25,705","$5,814,000",2008,pct_total_money_won
357,357,Gabriel Hjertstedt,4,0.41,"$11,495","$2,808,000",2008,pct_total_money_won
358,358,Jon Turcott,2,0.4,"$8,360","$2,070,000",2008,pct_total_money_won
359,359,Scott Piercy,2,0.39,"$7,630","$1,980,000",2008,pct_total_money_won
360,360,Deane Pappas,3,0.37,"$9,573","$2,556,000",2008,pct_total_money_won
361,361,Len Mattiace,11,0.36,"$35,333","$9,864,000",2008,pct_total_money_won
362,362,Notah Begay III,9,0.34,"$27,872","$8,118,000",2008,pct_total_money_won
363,363,John Daly,17,0.33,"$56,017","$16,996,875",2008,pct_total_money_won
364,364,Colt Knost,5,0.32,"$16,129","$5,004,000",2008,pct_total_money_won
365,365,Ron Whittaker,22,0.31,"$59,977","$19,278,000",2008,pct_total_money_won
366,366,Cody Freeman,26,0.3,"$68,672","$23,130,000",2008,pct_total_money_won
367,367,J.L. Lewis,16,0.23,"$34,002","$14,796,000",2008,pct_total_money_won
368,368,Duffy Waldorf,4,0.2,"$7,350","$3,636,000",2008,pct_total_money_won
369,369,Grant Waite,8,0.19,"$12,540","$6,534,000",2008,pct_total_money_won
T370,T370,Mark O'Meara,5,0.18,"$10,920","$6,052,875",2008,pct_total_money_won
T370,T370,Travis Perkins,23,0.18,"$36,582","$20,358,000",2008,pct_total_money_won
372,372,Skip Kendall,6,0.16,"$7,910","$5,094,000",2008,pct_total_money_won
373,373,"Jim Gallagher, Jr.",7,0.13,"$7,520","$5,778,000",2008,pct_total_money_won
374,374,Bob Burns,7,0.12,"$6,650","$5,598,000",2008,pct_total_money_won
