RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:APP,MEASURED ROUNDS,year,measure
67,67,Sergio Garcia,58,0.199,7.157,36,2010,sg_app_green
68,68,Sean O'Hair,84,0.198,12.899,65,2010,sg_app_green
69,69,Chris DiMarco,88,0.196,15.289,78,2010,sg_app_green
70,70,Lee Janzen,77,0.192,13.434,70,2010,sg_app_green
71,71,D.A. Points,90,0.191,15.088,79,2010,sg_app_green
72,72,Retief Goosen,75,0.185,9.788,53,2010,sg_app_green
73,73,Shaun Micheel,70,0.182,9.624,53,2010,sg_app_green
74,74,Garth Mulroy,53,0.178,7.462,42,2010,sg_app_green
75,75,Will MacKenzie,72,0.177,12.056,68,2010,sg_app_green
76,76,Jason Dufner,87,0.176,12.171,69,2010,sg_app_green
77,77,George McNeill,79,0.175,12.232,70,2010,sg_app_green
78,78,Justin Rose,78,0.168,11.734,70,2010,sg_app_green
79,79,Brian Gay,101,0.159,13.004,82,2010,sg_app_green
80,80,Dean Wilson,54,0.158,7.436,47,2010,sg_app_green
81,81,Kenny Perry,69,0.151,8.461,56,2010,sg_app_green
T82,T82,Bob Estes,79,0.143,10.144,71,2010,sg_app_green
T82,T82,Martin Laird,91,0.143,11.294,79,2010,sg_app_green
84,84,Bubba Watson,77,0.14,9.376,67,2010,sg_app_green
85,85,Lucas Glover,75,0.138,8.122,59,2010,sg_app_green
86,86,David Toms,86,0.122,8.507,70,2010,sg_app_green
87,87,Kevin Stadler,86,0.12,8.613,72,2010,sg_app_green
88,88,Graham DeLaet,88,0.111,8.45,76,2010,sg_app_green
89,89,Brett Wetterich,54,0.106,5.594,53,2010,sg_app_green
90,90,Henrik Bjornstad,72,0.096,5.671,59,2010,sg_app_green
91,91,Brian Davis,101,0.089,7.887,89,2010,sg_app_green
92,92,Brandt Snedeker,89,0.088,6.606,75,2010,sg_app_green
T93,T93,Michael Connell,89,0.081,6.266,77,2010,sg_app_green
T93,T93,Nicholas Thompson,88,0.081,6.208,77,2010,sg_app_green
T95,T95,Stuart Appleby,101,0.077,6.736,88,2010,sg_app_green
T95,T95,Chris Stroud,90,0.077,5.564,72,2010,sg_app_green
97,97,Hunter Mahan,85,0.069,4.638,67,2010,sg_app_green
98,98,Jeff Overton,89,0.064,4.556,71,2010,sg_app_green
99,99,Greg Chalmers,93,0.06,5.26,87,2010,sg_app_green
T100,T100,James Nitties,92,0.058,4.69,81,2010,sg_app_green
T100,T100,Boo Weekley,88,0.058,4.29,74,2010,sg_app_green
T102,T102,Stephen Ames,75,0.054,3.754,69,2010,sg_app_green
T102,T102,Ben Curtis,78,0.054,3.55,66,2010,sg_app_green
T102,T102,Jason Day,82,0.054,3.848,71,2010,sg_app_green
