RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,SG:OTT,SG:APR,SG:ARG,MEASURED ROUNDS,year,measure
94,95,Garth Mulroy,53,0.147,0.124,0.178,-0.154,42,2010,sg_tee_to_green
95,97,John Merrick,109,0.144,0.217,0.01,-0.084,92,2010,sg_tee_to_green
96,96,J.J. Henry,92,0.141,0.383,-0.19,-0.052,79,2010,sg_tee_to_green
97,99,Charlie Wi,95,0.12,-0.286,0.28,0.127,89,2010,sg_tee_to_green
98,88,Chris DiMarco,88,0.115,-0.244,0.196,0.163,78,2010,sg_tee_to_green
99,102,Michael Letzig,84,0.112,0.115,-0.121,0.118,80,2010,sg_tee_to_green
100,101,Brandt Snedeker,89,0.109,-0.287,0.088,0.308,75,2010,sg_tee_to_green
101,103,Lee Janzen,77,0.101,-0.177,0.192,0.086,70,2010,sg_tee_to_green
102,98,Woody Austin,93,0.094,-0.01,0.048,0.056,83,2010,sg_tee_to_green
103,T104,Kevin Streelman,90,0.086,0.478,-0.236,-0.155,80,2010,sg_tee_to_green
104,T104,Garrett Willis,82,0.085,-0.155,0.261,-0.022,71,2010,sg_tee_to_green
105,,Cliff Kresge,50,0.083,-0.191,0.41,-0.136,45,2010,sg_tee_to_green
106,106,Brian Davis,101,0.067,-0.007,0.089,-0.015,89,2010,sg_tee_to_green
107,107,Kevin Stadler,86,0.055,0.237,0.12,-0.301,72,2010,sg_tee_to_green
108,108,Bryce Molder,84,0.034,-0.406,0.235,0.205,73,2010,sg_tee_to_green
109,100,Nicholas Thompson,88,0.011,0.261,0.081,-0.331,77,2010,sg_tee_to_green
110,110,Ben Curtis,78,0.004,-0.159,0.054,0.11,66,2010,sg_tee_to_green
111,109,Chris Couch,66,0.002,0.444,-0.242,-0.199,59,2010,sg_tee_to_green
112,T111,Brett Quigley,96,-0.014,-0.422,0.425,-0.016,88,2010,sg_tee_to_green
113,T111,Jarrod Lyle,54,-0.018,0.266,-0.441,0.157,46,2010,sg_tee_to_green
114,113,Y.E. Yang,72,-0.019,0.316,-0.252,-0.083,58,2010,sg_tee_to_green
115,114,Matt Jones,89,-0.02,-0.122,-0.219,0.321,80,2010,sg_tee_to_green
116,116,Dean Wilson,54,-0.044,-0.341,0.158,0.139,47,2010,sg_tee_to_green
117,115,J.P. Hayes,79,-0.057,0.039,-0.4,0.304,68,2010,sg_tee_to_green
118,118,Bob Estes,79,-0.064,-0.33,0.143,0.123,71,2010,sg_tee_to_green
119,119,Jay Williamson,76,-0.066,0.125,0.028,-0.219,61,2010,sg_tee_to_green
120,117,Rod Pampling,77,-0.067,0.068,-0.356,0.22,70,2010,sg_tee_to_green
121,135,Robert Garrigus,71,-0.09,0.73,0.025,-0.845,61,2010,sg_tee_to_green
122,T122,Mathias Grönberg,61,-0.099,0.222,-0.236,-0.085,50,2010,sg_tee_to_green
123,T122,Greg Owen,69,-0.108,0.2,-0.103,-0.205,62,2010,sg_tee_to_green
124,121,Alex Prugh,88,-0.112,0.39,-0.304,-0.197,80,2010,sg_tee_to_green
125,124,Andres Romero,73,-0.118,0.167,-0.101,-0.184,72,2010,sg_tee_to_green
126,125,Mathew Goggin,85,-0.122,0.264,-0.177,-0.209,76,2010,sg_tee_to_green
127,120,Mark Calcavecchia,50,-0.126,-0.177,0.363,-0.311,33,2010,sg_tee_to_green
128,128,Mark Wilson,87,-0.134,-0.196,-0.292,0.354,79,2010,sg_tee_to_green
129,127,Ryan Palmer,84,-0.139,0.175,0.01,-0.324,71,2010,sg_tee_to_green
130,133,Roger Tambellini,77,-0.151,0.085,-0.235,0,62,2010,sg_tee_to_green
131,126,Jimmy Walker,82,-0.155,-0.538,0.336,0.047,70,2010,sg_tee_to_green
132,T129,Johnson Wagner,85,-0.16,-0.356,0.323,-0.128,74,2010,sg_tee_to_green
133,T129,Paul Goydos,78,-0.175,-0.257,0.244,-0.162,66,2010,sg_tee_to_green
134,136,Michael Connell,89,-0.195,-0.284,0.081,0.007,77,2010,sg_tee_to_green
135,131,Webb Simpson,98,-0.2,-0.308,-0.046,0.153,92,2010,sg_tee_to_green
136,148,Brian Gay,101,-0.211,-0.597,0.159,0.228,82,2010,sg_tee_to_green
137,137,Jeff Gove,57,-0.212,0.081,-0.045,-0.248,44,2010,sg_tee_to_green
138,132,Scott Piercy,88,-0.22,-0.013,-0.065,-0.142,81,2010,sg_tee_to_green
139,134,Mike Weir,59,-0.221,-1.246,0.466,0.559,40,2010,sg_tee_to_green
140,146,John Mallinger,78,-0.228,-0.131,-0.323,0.226,65,2010,sg_tee_to_green
141,139,Chris Tidland,77,-0.239,0.285,-0.508,-0.015,68,2010,sg_tee_to_green
142,138,Cameron Beckman,68,-0.253,-0.228,-0.02,-0.004,59,2010,sg_tee_to_green
143,142,James Driscoll,78,-0.255,-0.014,-0.26,0.019,74,2010,sg_tee_to_green
144,140,Carl Pettersson,99,-0.263,-0.18,-0.152,0.069,83,2010,sg_tee_to_green
145,141,Ryuji Imada,90,-0.265,-0.298,-0.207,0.24,84,2010,sg_tee_to_green
146,144,Michael Sim,64,-0.283,-0.351,-0.237,0.306,53,2010,sg_tee_to_green
147,143,Aaron Baddeley,94,-0.294,0.112,-0.797,0.391,88,2010,sg_tee_to_green
148,145,George McNeill,79,-0.296,-0.488,0.175,0.018,70,2010,sg_tee_to_green
T149,149,Michael Bradley,77,-0.31,-0.676,0.219,0.147,68,2010,sg_tee_to_green
T149,147,Matt Every,60,-0.31,0.166,-0.292,-0.185,51,2010,sg_tee_to_green
151,151,John Daly,63,-0.335,0.336,-0.374,-0.298,47,2010,sg_tee_to_green
152,150,Joe Ogilvie,99,-0.338,-0.005,-0.19,-0.142,86,2010,sg_tee_to_green
153,152,Scott McCarron,90,-0.357,0.093,-0.529,0.079,83,2010,sg_tee_to_green
154,162,Jeff Maggert,76,-0.384,0.123,-0.06,-0.447,63,2010,sg_tee_to_green
155,154,James Nitties,92,-0.388,-0.188,0.058,-0.258,81,2010,sg_tee_to_green
156,155,David Duval,71,-0.397,-0.354,0.202,-0.245,56,2010,sg_tee_to_green
157,157,Tim Herron,79,-0.4,-0.233,-0.211,0.044,69,2010,sg_tee_to_green
158,156,Trevor Immelman,55,-0.401,-0.501,0.005,0.095,43,2010,sg_tee_to_green
159,161,Roland Thatcher,72,-0.408,-0.061,-0.095,-0.253,68,2010,sg_tee_to_green
160,153,Henrik Bjornstad,72,-0.416,-0.022,0.096,-0.49,59,2010,sg_tee_to_green
161,158,Greg Chalmers,93,-0.424,-0.555,0.06,0.07,87,2010,sg_tee_to_green
162,159,Jeff Quinney,91,-0.427,-0.402,0.207,-0.232,80,2010,sg_tee_to_green
163,160,Blake Adams,84,-0.432,0.292,-0.726,0.002,75,2010,sg_tee_to_green
164,163,Bill Lunde,79,-0.461,-0.265,-0.263,0.068,67,2010,sg_tee_to_green
165,165,Chad Collins,87,-0.483,-0.66,-0.116,0.293,75,2010,sg_tee_to_green
166,164,Richard Johnson,90,-0.486,-0.388,0.006,-0.104,73,2010,sg_tee_to_green
167,166,Ian Poulter,55,-0.542,-0.109,-0.655,0.221,34,2010,sg_tee_to_green
168,169,Steve Flesch,78,-0.57,-0.386,-0.493,0.309,65,2010,sg_tee_to_green
169,167,Nathan Green,86,-0.592,-0.566,-0.192,0.167,81,2010,sg_tee_to_green
170,170,Derek Lamely,81,-0.611,-0.199,-0.332,-0.081,64,2010,sg_tee_to_green
171,168,Brenden Pappas,66,-0.637,-0.593,-0.074,0.03,55,2010,sg_tee_to_green
172,T173,Rich Barcelo,70,-0.668,-1.027,0.228,0.13,58,2010,sg_tee_to_green
173,171,Craig Bowden,56,-0.698,-0.253,-0.458,0.013,48,2010,sg_tee_to_green
174,172,David Lutterus,69,-0.707,-0.368,-0.439,0.1,56,2010,sg_tee_to_green
175,177,Martin Flores,75,-0.776,-0.223,-0.553,-0.001,64,2010,sg_tee_to_green
176,175,Ted Purdy,86,-0.784,-0.124,-0.405,-0.256,75,2010,sg_tee_to_green
177,T173,Steve Lowery,67,-0.794,0.122,-0.31,-0.607,56,2010,sg_tee_to_green
178,179,Andrew McLardy,52,-0.832,0.079,-0.536,-0.375,44,2010,sg_tee_to_green
179,178,Steve Wheatcroft,74,-0.833,0.002,-0.65,-0.185,58,2010,sg_tee_to_green
180,176,Matt Bettencourt,91,-0.853,0.089,-0.831,-0.111,70,2010,sg_tee_to_green
181,180,Troy Merritt,86,-0.954,-0.177,-0.45,-0.326,77,2010,sg_tee_to_green
182,181,Chris Wilson,65,-0.962,-0.112,-0.629,-0.221,52,2010,sg_tee_to_green
183,183,Brian Stuard,81,-1.033,-0.204,-0.77,-0.058,71,2010,sg_tee_to_green
184,182,Brent Delahoussaye,57,-1.046,-0.467,-0.114,-0.465,47,2010,sg_tee_to_green
185,184,Skip Kendall,58,-1.168,-0.486,-0.651,-0.031,49,2010,sg_tee_to_green
186,185,Vance Veazey,58,-1.329,-1.117,-0.084,-0.128,48,2010,sg_tee_to_green
187,187,Justin Bolli,55,-1.361,-0.475,-0.463,-0.423,42,2010,sg_tee_to_green
188,186,Daniel Chopra,74,-1.461,-0.307,-1.07,-0.084,67,2010,sg_tee_to_green
189,188,Kevin Johnson,62,-1.795,-0.822,-0.895,-0.077,49,2010,sg_tee_to_green
190,189,Greg Kraft,52,-1.856,-0.876,-0.572,-0.408,39,2010,sg_tee_to_green
191,190,Jerod Turner,54,-1.883,-0.351,-1.179,-0.353,40,2010,sg_tee_to_green
192,191,Brad Faxon,58,-2.519,-1.343,-0.622,-0.553,48,2010,sg_tee_to_green
