RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVG.,TOTAL DISTANCE,TOTAL DRIVES,year,measure
56,56,Brad Fritsch,50,294.4,"28,267",96,2014,avg_driv_dist
57,61,Sergio Garcia,61,294.3,"29,425",100,2014,avg_driv_dist
58,57,Rory Sabbatini,82,294.2,"43,537",148,2014,avg_driv_dist
59,58,Tommy Gainey,73,294,"40,569",138,2014,avg_driv_dist
60,59,Aaron Baddeley,74,293.8,"39,950",136,2014,avg_driv_dist
T61,60,Stewart Cink,91,293.7,"51,111",174,2014,avg_driv_dist
T61,T62,Russell Henley,92,293.7,"51,688",176,2014,avg_driv_dist
63,T62,Bud Cauley,56,293.4,"32,856",112,2014,avg_driv_dist
64,64,Henrik Stenson,56,293.2,"29,322",100,2014,avg_driv_dist
T65,T65,Paul Casey,56,293,"30,475",104,2014,avg_driv_dist
T65,T65,Michael Putnam,106,293,"59,769",204,2014,avg_driv_dist
T65,T65,Wes Roach,67,293,"36,919",126,2014,avg_driv_dist
T68,T69,Camilo Villegas,95,292.5,"53,231",182,2014,avg_driv_dist
T68,T69,Geoff Ogilvy,84,292.5,"46,799",160,2014,avg_driv_dist
70,71,Phil Mickelson,71,292.4,"36,840",126,2014,avg_driv_dist
T71,72,Lee Westwood,57,292.3,"30,397",104,2014,avg_driv_dist
T71,68,Patrick Reed,92,292.3,"50,267",172,2014,avg_driv_dist
73,73,Bill Haas,107,291.9,"56,626",194,2014,avg_driv_dist
74,74,Trevor Immelman,84,291.8,"46,685",160,2014,avg_driv_dist
75,75,Ben Martin,80,291.7,"46,668",160,2014,avg_driv_dist
T76,76,Kevin Stadler,90,291.6,"49,281",169,2014,avg_driv_dist
T76,77,Billy Horschel,92,291.6,"47,828",164,2014,avg_driv_dist
78,78,Bo Van Pelt,83,291.3,"43,695",150,2014,avg_driv_dist
79,79,Ernie Els,85,291.2,"41,354",142,2014,avg_driv_dist
T80,80,Ryo Ishikawa,75,291,"41,328",142,2014,avg_driv_dist
T80,81,Chris Kirk,105,291,"58,203",200,2014,avg_driv_dist
T82,T82,J.J. Henry,91,290.7,"50,590",174,2014,avg_driv_dist
T82,T82,Ricky Barnes,92,290.7,"51,170",176,2014,avg_driv_dist
T84,T84,Will MacKenzie,82,290.6,"47,666",164,2014,avg_driv_dist
T84,T84,Chesson Hadley,84,290.6,"48,814",168,2014,avg_driv_dist
86,86,John Rollins,84,290.1,"44,101",152,2014,avg_driv_dist
87,T87,Tyrone Van Aswegen,79,290,"45,234",156,2014,avg_driv_dist
88,89,David Lingmerth,80,289.8,"41,729",144,2014,avg_driv_dist
T89,T87,Jordan Spieth,102,289.7,"54,470",188,2014,avg_driv_dist
T89,90,Vijay Singh,83,289.7,"48,093",166,2014,avg_driv_dist
91,91,James Hahn,82,289.6,"46,337",160,2014,avg_driv_dist
92,92,Brice Garnett,92,289.3,"50,915",176,2014,avg_driv_dist
93,93,Michael Thompson,74,289.2,"38,172",132,2014,avg_driv_dist
94,95,Brian Harman,111,289,"64,149",222,2014,avg_driv_dist
95,94,John Senden,99,288.9,"57,207",198,2014,avg_driv_dist
96,96,Retief Goosen,94,288.8,"49,665",172,2014,avg_driv_dist
97,98,Kevin Streelman,79,288.6,"40,121",139,2014,avg_driv_dist
T98,97,Webb Simpson,87,288.5,"48,462",168,2014,avg_driv_dist
T98,99,Sangmoon Bae,76,288.5,"41,549",144,2014,avg_driv_dist
100,100,Boo Weekley,73,288.3,"36,614",127,2014,avg_driv_dist
101,101,Jim Renner,61,288.2,"34,013",118,2014,avg_driv_dist
T102,T102,Ian Poulter,57,288.1,"29,963",104,2014,avg_driv_dist
T102,T102,Jonathan Byrd,76,288.1,"41,481",144,2014,avg_driv_dist
T102,T102,Gonzalo Fernandez-Castaño,83,288.1,"44,938",156,2014,avg_driv_dist
T102,T102,John Peterson,62,288.1,"34,574",120,2014,avg_driv_dist
106,107,Brendon de Jonge,109,287.9,"59,893",208,2014,avg_driv_dist
T107,T108,Chad Campbell,57,287.8,"30,510",106,2014,avg_driv_dist
T107,T108,Kevin Kisner,85,287.8,"48,933",170,2014,avg_driv_dist
109,110,Luke Guthrie,85,287.6,"48,889",170,2014,avg_driv_dist
110,111,Jeff Overton,80,287.5,"41,396",144,2014,avg_driv_dist
111,112,Andrew Svoboda,77,287.4,"44,261",154,2014,avg_driv_dist
112,113,Scott Brown,100,287.2,"55,140",192,2014,avg_driv_dist
113,114,Johnson Wagner,69,287.1,"37,322",130,2014,avg_driv_dist
114,115,Nicholas Thompson,85,287,"44,203",154,2014,avg_driv_dist
115,116,Pat Perez,84,286.4,"48,114",168,2014,avg_driv_dist
116,117,Matt Every,85,286.3,"46,373",162,2014,avg_driv_dist
T117,T118,Jonas Blixt,64,286.1,"30,899",108,2014,avg_driv_dist
T117,T118,George McNeill,79,286.1,"45,200",158,2014,avg_driv_dist
119,120,Chris Stroud,88,285.8,"48,020",168,2014,avg_driv_dist
120,121,Russell Knox,92,285.7,"52,566",184,2014,avg_driv_dist
121,122,Brandt Snedeker,89,285.6,"47,126",165,2014,avg_driv_dist
T122,T123,John Merrick,87,285.3,"42,797",150,2014,avg_driv_dist
T122,T123,Jason Dufner,57,285.3,"28,526",100,2014,avg_driv_dist
124,125,Troy Merritt,62,285.2,"35,359",124,2014,avg_driv_dist
T125,T126,Justin Hicks,103,285.1,"56,456",198,2014,avg_driv_dist
T125,T126,Richard Lee,80,285.1,"42,188",148,2014,avg_driv_dist
T127,T128,Bronson La'Cassie,51,284.9,"26,779",94,2014,avg_driv_dist
T127,T128,Robert Allenby,83,284.9,"46,157",162,2014,avg_driv_dist
129,130,Ryan Moore,86,284.7,"43,280",152,2014,avg_driv_dist
130,131,Freddie Jacobson,91,284.6,"51,797",182,2014,avg_driv_dist
131,132,D.A. Points,75,284.5,"36,982",130,2014,avg_driv_dist
T132,T133,James Driscoll,71,284.2,"40,353",142,2014,avg_driv_dist
T132,T133,Danny Lee,84,284.2,"45,471",160,2014,avg_driv_dist
T134,T135,John Huh,87,283.9,"44,849",158,2014,avg_driv_dist
T134,T135,Roberto Castro,76,283.9,"39,746",140,2014,avg_driv_dist
136,137,Matt Kuchar,91,283.8,"49,943",176,2014,avg_driv_dist
137,138,Brian Stuard,91,283.4,"49,310",174,2014,avg_driv_dist
138,139,Erik Compton,88,283.3,"49,864",176,2014,avg_driv_dist
139,140,Cameron Tringale,111,282.9,"60,534",214,2014,avg_driv_dist
140,141,Tim Wilkinson,86,282.4,"46,321",164,2014,avg_driv_dist
T141,T142,Zach Johnson,97,282.2,"54,182",192,2014,avg_driv_dist
T141,T142,Daniel Summerhays,98,282.2,"53,054",188,2014,avg_driv_dist
143,144,Y.E. Yang,79,281.9,"43,973",156,2014,avg_driv_dist
144,145,Briny Baird,50,281.6,"28,159",100,2014,avg_driv_dist
145,146,Scott Langley,95,281.3,"52,320",186,2014,avg_driv_dist
146,147,Charlie Wi,72,281,"39,335",140,2014,avg_driv_dist
147,148,Greg Chalmers,85,280.7,"45,469",162,2014,avg_driv_dist
T148,150,Kevin Na,94,280.3,"52,700",188,2014,avg_driv_dist
T148,149,Brendon Todd,108,280.3,"60,260",215,2014,avg_driv_dist
150,151,Spencer Levin,59,280.1,"33,051",118,2014,avg_driv_dist
151,152,Jason Bohn,81,280,"45,363",162,2014,avg_driv_dist
152,153,K.J. Choi,80,279.8,"42,535",152,2014,avg_driv_dist
153,154,Mark Wilson,69,279.6,"36,346",130,2014,avg_driv_dist
154,155,Ben Curtis,77,279.5,"40,811",146,2014,avg_driv_dist
155,156,Jim Furyk,84,279.3,"44,681",160,2014,avg_driv_dist
156,157,David Hearn,97,279.1,"51,918",186,2014,avg_driv_dist
157,158,Ben Crane,81,279,"45,204",162,2014,avg_driv_dist
158,159,Bryce Molder,77,278.7,"38,458",138,2014,avg_driv_dist
159,160,Stuart Appleby,92,278.6,"50,148",180,2014,avg_driv_dist
T160,T161,Woody Austin,63,278.5,"32,861",118,2014,avg_driv_dist
T160,T161,William McGirt,96,278.5,"53,472",192,2014,avg_driv_dist
162,163,"Ted Potter, Jr.",68,278.4,"37,864",136,2014,avg_driv_dist
163,164,Brian Davis,93,278.2,"49,511",178,2014,avg_driv_dist
164,165,Luke Donald,57,278.1,"28,926",104,2014,avg_driv_dist
165,166,Graeme McDowell,66,278,"32,253",116,2014,avg_driv_dist
166,167,Heath Slocum,71,277.8,"38,340",138,2014,avg_driv_dist
167,168,Jerry Kelly,80,277.5,"42,183",152,2014,avg_driv_dist
168,170,Billy Hurley III,86,276.7,"47,597",172,2014,avg_driv_dist
169,171,Jeff Maggert,54,276.6,"29,877",108,2014,avg_driv_dist
170,172,D.H. Lee,54,276.2,"27,616",100,2014,avg_driv_dist
171,173,Ken Duke,80,275.5,"40,775",148,2014,avg_driv_dist
172,174,Chad Collins,78,275.4,"40,764",148,2014,avg_driv_dist
173,176,David Toms,64,275.1,"34,110",124,2014,avg_driv_dist
174,177,Tim Clark,75,272.2,"38,655",142,2014,avg_driv_dist
175,178,Brian Gay,81,271.6,"38,570",142,2014,avg_driv_dist
176,179,Mike Weir,69,271.2,"35,252",130,2014,avg_driv_dist
177,180,Justin Leonard,75,270.3,"40,539",150,2014,avg_driv_dist
