RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
T47,T47,Scott Stallings,27,157,17,140,2012,total_driving
T49,T49,Bobby Gates,29,158,21,137,2012,total_driving
T49,T49,Billy Mayfair,28,158,122,36,2012,total_driving
51,51,Ryan Palmer,24,159,15,144,2012,total_driving
T52,T52,Robert Garrigus,26,160,3,157,2012,total_driving
T52,T52,Jeff Maggert,27,160,141,19,2012,total_driving
T54,T54,Rory McIlroy,16,161,5,156,2012,total_driving
T54,T54,D.J. Trahan,27,161,66,95,2012,total_driving
T56,T56,Sergio Garcia,16,162,64,98,2012,total_driving
T56,T56,Dustin Johnson,19,162,4,158,2012,total_driving
58,58,Brendan Steele,24,163,105,58,2012,total_driving
59,59,Brendon de Jonge,31,164,105,59,2012,total_driving
60,60,Camilo Villegas,25,165,87,78,2012,total_driving
61,61,Geoff Ogilvy,20,168,90,78,2012,total_driving
T62,T62,Davis Love III,20,169,39,130,2012,total_driving
T62,T62,Rod Pampling,26,169,105,64,2012,total_driving
T64,T64,Matt Kuchar,22,170,128,42,2012,total_driving
T64,T64,Nick Watney,26,170,36,134,2012,total_driving
66,66,Erik Compton,26,171,33,138,2012,total_driving
T67,T67,Ben Crane,23,172,122,50,2012,total_driving
T67,T67,Garth Mulroy,20,172,55,117,2012,total_driving
T69,T69,Gary Christian,28,173,164,9,2012,total_driving
T69,T69,John Daly,15,173,9,164,2012,total_driving
T69,T69,Scott Piercy,28,173,12,161,2012,total_driving
T72,T72,Kris Blanks,23,174,148,26,2012,total_driving
T72,T72,Chez Reavie,26,174,161,13,2012,total_driving
T74,T74,Ángel Cabrera,20,175,22,153,2012,total_driving
T74,T74,Jim Furyk,24,175,171,4,2012,total_driving
T76,T76,Padraig Harrington,18,177,57,120,2012,total_driving
T76,T76,Kyle Reifers,27,177,92,85,2012,total_driving
T76,T76,Heath Slocum,29,177,175,2,2012,total_driving
79,79,J.J. Henry,28,178,115,63,2012,total_driving
T80,T80,J.B. Holmes,25,179,6,173,2012,total_driving
T80,T80,Roland Thatcher,21,179,104,75,2012,total_driving
T82,T82,Zach Johnson,25,182,168,14,2012,total_driving
T82,T82,John Mallinger,25,182,166,16,2012,total_driving
T82,T82,Daniel Summerhays,26,182,101,81,2012,total_driving
T85,T85,Tim Clark,20,183,180,3,2012,total_driving
T85,T85,Jerry Kelly,26,183,182,1,2012,total_driving
T85,T85,Carl Pettersson,26,183,35,148,2012,total_driving
88,88,Ian Poulter,15,184,145,39,2012,total_driving
89,89,Bud Cauley,28,186,74,112,2012,total_driving
90,90,Steve Wheatcroft,22,189,121,68,2012,total_driving
T91,T91,Scott Brown,24,190,77,113,2012,total_driving
T91,T91,Ken Duke,30,190,160,30,2012,total_driving
T91,T91,Jason Kokrak,27,190,14,176,2012,total_driving
T91,T91,Kevin Na,25,190,165,25,2012,total_driving
T91,T91,David Toms,19,190,184,6,2012,total_driving
T91,T91,Jhonattan Vegas,25,190,10,180,2012,total_driving
T91,T91,Gary Woodland,22,190,18,172,2012,total_driving
T98,T98,Stuart Appleby,24,191,159,32,2012,total_driving
T98,T98,Jason Day,17,191,7,184,2012,total_driving
100,100,Ben Curtis,19,193,186,7,2012,total_driving
101,101,Chris Kirk,27,194,73,121,2012,total_driving
102,102,Mark Wilson,25,195,183,12,2012,total_driving
T103,T103,Chris DiMarco,29,196,188,8,2012,total_driving
T103,T103,David Hearn,28,196,124,72,2012,total_driving
T105,T105,Brian Davis,29,197,179,18,2012,total_driving
T105,T105,D.A. Points,29,197,152,45,2012,total_driving
T105,T105,Chris Stroud,28,197,126,71,2012,total_driving
108,108,Tommy Gainey,32,198,33,165,2012,total_driving
109,109,Steve Stricker,19,199,138,61,2012,total_driving
T110,T110,Harrison Frazar,20,200,30,170,2012,total_driving
T110,T110,"Ted Potter, Jr.",25,200,148,52,2012,total_driving
T112,T112,Hunter Haas,24,201,117,84,2012,total_driving
T112,T112,Trevor Immelman,24,201,80,121,2012,total_driving
114,114,Webb Simpson,22,203,111,92,2012,total_driving
T115,T115,Chad Campbell,27,204,90,114,2012,total_driving
T115,T115,Colt Knost,29,204,189,15,2012,total_driving
T115,T115,George McNeill,25,204,105,99,2012,total_driving
T115,T115,Alexandre Rocha,21,204,147,57,2012,total_driving
T119,T119,Ernie Els,22,206,51,155,2012,total_driving
T119,T119,Troy Kelly,23,206,23,183,2012,total_driving
T121,T121,Luke Donald,17,207,170,37,2012,total_driving
T121,T121,Edward Loar,23,207,44,163,2012,total_driving
T123,T123,Ricky Barnes,28,208,68,140,2012,total_driving
T123,T123,Troy Matteson,32,208,26,182,2012,total_driving
125,125,Scott Dunlap,20,211,166,45,2012,total_driving
126,126,Kevin Chappell,29,212,58,154,2012,total_driving
127,127,Bill Lunde,25,215,84,131,2012,total_driving
T128,T128,K.J. Choi,21,216,162,54,2012,total_driving
T128,T128,Kyle Thompson,22,216,151,65,2012,total_driving
T130,T130,Jason Bohn,28,217,174,43,2012,total_driving
T130,T130,Robert Karlsson,17,217,50,167,2012,total_driving
T130,T130,Kevin Kisner,24,217,116,101,2012,total_driving
133,133,Tim Herron,27,218,99,119,2012,total_driving
T134,T134,Brandt Snedeker,22,219,110,109,2012,total_driving
T134,T134,Jimmy Walker,28,219,38,181,2012,total_driving
T136,T136,Matt Jones,19,221,55,166,2012,total_driving
T136,T136,Charlie Wi,25,221,134,87,2012,total_driving
T138,T138,Charles Howell III,29,222,51,171,2012,total_driving
T138,T138,Danny Lee,26,222,72,150,2012,total_driving
T138,T138,Rory Sabbatini,29,222,119,103,2012,total_driving
T138,T138,Johnson Wagner,27,222,152,70,2012,total_driving
142,142,Dicky Pride,19,224,130,94,2012,total_driving
143,143,Martin Flores,30,226,49,177,2012,total_driving
144,144,Phil Mickelson,22,227,53,174,2012,total_driving
145,145,Cameron Beckman,26,228,142,86,2012,total_driving
T146,T146,Mark Anderson,25,229,43,186,2012,total_driving
T146,T146,Mathew Goggin,23,229,82,147,2012,total_driving
148,148,Gavin Coles,23,231,190,41,2012,total_driving
T149,T149,Daniel Chopra,21,235,44,191,2012,total_driving
T149,T149,Vaughn Taylor,26,235,129,106,2012,total_driving
T151,T151,Sangmoon Bae,25,237,95,142,2012,total_driving
T151,T151,Andres Romero,22,237,68,169,2012,total_driving
T153,T153,Stephen Ames,20,238,155,83,2012,total_driving
T153,T153,David Mathis,29,238,176,62,2012,total_driving
155,155,Matt Every,25,240,136,104,2012,total_driving
T156,T156,Jonathan Byrd,21,241,96,145,2012,total_driving
T156,T156,Miguel Angel Carballo,25,241,96,145,2012,total_driving
T158,T158,Aaron Baddeley,22,243,68,175,2012,total_driving
T158,T158,Greg Chalmers,25,243,163,80,2012,total_driving
T158,T158,Rocco Mediate,23,243,169,74,2012,total_driving
161,161,Arjun Atwal,27,244,144,100,2012,total_driving
162,162,William McGirt,30,245,138,107,2012,total_driving
163,163,Bob Estes,23,247,142,105,2012,total_driving
164,164,Y.E. Yang,20,248,146,102,2012,total_driving
T165,T165,Robert Allenby,27,251,124,127,2012,total_driving
T165,T165,Nick O'Hern,26,251,191,60,2012,total_driving
T167,T167,Brian Gay,28,254,177,77,2012,total_driving
T167,T167,J.J. Killeen,33,254,94,160,2012,total_driving
169,169,Jonas Blixt,21,260,127,133,2012,total_driving
170,170,Freddie Jacobson,17,262,119,143,2012,total_driving
171,171,Stephen Gangluff,23,265,75,190,2012,total_driving
T172,T172,James Driscoll,27,267,78,189,2012,total_driving
T172,T172,Marc Leishman,23,267,99,168,2012,total_driving
174,174,Bryce Molder,25,269,178,91,2012,total_driving
175,175,Ryo Ishikawa,18,271,92,179,2012,total_driving
176,176,Sung Kang,30,282,133,149,2012,total_driving
T177,T177,Stewart Cink,22,283,105,178,2012,total_driving
T177,T177,Justin Leonard,26,283,172,111,2012,total_driving
T179,T179,Tom Pernice Jr.,23,284,187,97,2012,total_driving
T179,T179,Michael Thompson,25,284,158,126,2012,total_driving
181,181,Nathan Green,22,286,154,132,2012,total_driving
T182,T182,Derek Lamely,25,289,102,187,2012,total_driving
T182,T182,Patrick Sheehan,21,289,173,116,2012,total_driving
184,184,Tommy Biershenk,27,290,138,152,2012,total_driving
185,185,Marco Dawson,22,292,130,162,2012,total_driving
T186,T186,Billy Hurley III,27,293,185,108,2012,total_driving
T186,T186,Brendon Todd,29,293,157,136,2012,total_driving
188,188,Matt Bettencourt,31,299,114,185,2012,total_driving
189,189,Spencer Levin,26,306,155,151,2012,total_driving
190,190,Michael Bradley,23,336,148,188,2012,total_driving
191,191,Ryuji Imada,28,340,181,159,2012,total_driving
