RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,EVENTS,TOTAL,DISTANCE RANK,ACCURACY RANK,year,measure
T183,T187,Wes Roach,7,294,151,143,2007,total_driving
186,181,Zach Johnson,7,299,216,83,2007,total_driving
187,191,Mikumu Horikawa,3,303,237,66,2007,total_driving
T188,194,Will Gordon,4,304,64,240,2007,total_driving
T188,210,Rory Sabbatini,7,304,219,85,2007,total_driving
T188,T183,Dylan Frittelli,9,304,193,111,2007,total_driving
191,185,Nelson Ledesma,10,305,57,248,2007,total_driving
192,192,Marc Leishman,5,306,90,216,2007,total_driving
193,166,Joseph Bramlett,7,307,94,213,2007,total_driving
194,195,Joaquin Niemann,8,308,164,144,2007,total_driving
T195,T196,Graeme McDowell,5,311,236,75,2007,total_driving
T195,T201,Bronson Burgoon,8,311,130,181,2007,total_driving
197,T187,Brian Gay,9,312,162,150,2007,total_driving
198,193,Rhein Gibson,9,313,90,223,2007,total_driving
199,T196,Tom Hoge,8,314,185,129,2007,total_driving
200,200,Mark Anderson,7,319,132,187,2007,total_driving
201,204,Smylie Kaufman,3,320,64,256,2007,total_driving
T202,199,Zac Blair,10,322,225,97,2007,total_driving
T202,214,Francesco Molinari,3,322,125,197,2007,total_driving
T204,T170,John Senden,5,324,120,204,2007,total_driving
T204,180,Ben Martin,6,324,223,101,2007,total_driving
T206,T205,James Hahn,6,325,163,162,2007,total_driving
T206,186,Aaron Baddeley,6,325,198,127,2007,total_driving
208,T211,J.J. Spaun,9,330,118,212,2007,total_driving
T209,203,Robert Streb,9,332,141,191,2007,total_driving
T209,T208,Robert Allenby,3,332,164,168,2007,total_driving
211,T211,Martin Trainer,8,339,94,245,2007,total_driving
212,T205,"Ted Potter, Jr.",7,340,151,189,2007,total_driving
213,T201,Chris Stroud,6,341,194,147,2007,total_driving
T214,T205,Rob Oppenheim,10,342,200,142,2007,total_driving
T214,198,Matt Every,7,342,122,220,2007,total_driving
T214,213,Morgan Hoffmann,4,342,143,199,2007,total_driving
217,215,Roberto Díaz,2,345,110,235,2007,total_driving
218,216,Stewart Cink,4,350,112,238,2007,total_driving
219,217,C.T. Pan,5,353,189,164,2007,total_driving
220,T218,Patton Kizzire,9,354,158,196,2007,total_driving
221,222,Hudson Swafford,4,356,183,173,2007,total_driving
222,T218,George McNeill,6,359,145,214,2007,total_driving
223,220,Patrick Reed,4,363,239,124,2007,total_driving
224,221,Jamie Lovemark,4,365,114,251,2007,total_driving
225,224,Luke Donald,2,378,232,146,2007,total_driving
226,226,Bo Van Pelt,7,387,155,232,2007,total_driving
227,225,Davis Love III,3,400,172,228,2007,total_driving
228,228,Arjun Atwal,5,404,173,231,2007,total_driving
T229,231,Daniel Chopra,3,411,157,254,2007,total_driving
T229,227,Kevin Stadler,6,411,217,194,2007,total_driving
231,229,John Rollins,4,414,209,205,2007,total_driving
232,230,Parker McLachlin,4,421,201,220,2007,total_driving
233,232,Peter Malnati,9,422,197,225,2007,total_driving
234,233,Michael Kim,8,435,211,224,2007,total_driving
235,235,Tommy Gainey,4,442,209,233,2007,total_driving
236,234,D.A. Points,4,446,226,220,2007,total_driving
237,236,Ricky Barnes,6,451,214,237,2007,total_driving
238,237,Brendon de Jonge,3,462,205,257,2007,total_driving
239,238,Shugo Imahira,2,490,235,255,2007,total_driving
