RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:OTT,MEASURED ROUNDS,year,measure
151,151,Todd Hamilton,92,-0.199,-13.931,70,2004,sg_off_tee
152,152,Grant Waite,79,-0.21,-14.259,68,2004,sg_off_tee
153,153,Jay Delsing,76,-0.219,-14.015,64,2004,sg_off_tee
154,154,Scott Simpson,55,-0.234,-11.939,51,2004,sg_off_tee
155,155,Chris Riley,78,-0.235,-12.437,53,2004,sg_off_tee
156,156,Hirofumi Miyase,65,-0.243,-13.847,57,2004,sg_off_tee
T157,T157,Tripp Isenhour,55,-0.245,-11.526,47,2004,sg_off_tee
T157,T157,David Peoples,82,-0.245,-18.391,75,2004,sg_off_tee
159,159,Bob Burns,88,-0.252,-19.623,78,2004,sg_off_tee
160,160,Esteban Toledo,92,-0.261,-20.883,80,2004,sg_off_tee
161,161,Bob Estes,73,-0.273,-13.912,51,2004,sg_off_tee
162,162,Todd Fischer,104,-0.275,-25.271,92,2004,sg_off_tee
163,163,Dean Wilson,99,-0.282,-25.651,91,2004,sg_off_tee
164,164,Gene Sauers,83,-0.287,-20.946,73,2004,sg_off_tee
165,165,Bob Tway,90,-0.289,-19.074,66,2004,sg_off_tee
166,166,Nick Price,51,-0.301,-10.841,36,2004,sg_off_tee
T167,T167,Dan Forsman,79,-0.304,-20.036,66,2004,sg_off_tee
T167,T167,Richard Johnson,102,-0.304,-28.237,93,2004,sg_off_tee
169,169,Len Mattiace,75,-0.306,-21.432,70,2004,sg_off_tee
170,170,Dicky Pride,66,-0.308,-18.16,59,2004,sg_off_tee
171,171,Cliff Kresge,89,-0.312,-23.418,75,2004,sg_off_tee
172,172,Brenden Pappas,111,-0.317,-31.385,99,2004,sg_off_tee
173,173,Mark Brooks,72,-0.324,-18.461,57,2004,sg_off_tee
174,174,Andre Stolz,53,-0.333,-16.002,48,2004,sg_off_tee
175,175,Billy Andrade,104,-0.338,-31.131,92,2004,sg_off_tee
176,176,David Morland IV,73,-0.345,-21.403,62,2004,sg_off_tee
177,177,Loren Roberts,81,-0.351,-23.855,68,2004,sg_off_tee
178,178,John Cook,57,-0.373,-17.904,48,2004,sg_off_tee
179,179,Corey Pavin,83,-0.392,-26.275,67,2004,sg_off_tee
180,180,Michael Allen,87,-0.393,-30.285,77,2004,sg_off_tee
181,181,Steve Pate,71,-0.396,-24.169,61,2004,sg_off_tee
182,182,Paul Azinger,75,-0.403,-26.226,65,2004,sg_off_tee
183,183,Ken Duke,89,-0.404,-32.318,80,2004,sg_off_tee
184,184,Tommy Tolles,67,-0.414,-25.262,61,2004,sg_off_tee
T185,T185,Brian Gay,96,-0.425,-37.395,88,2004,sg_off_tee
T185,T185,Mark O'Meara,58,-0.425,-17.434,41,2004,sg_off_tee
187,187,Dan Olsen,75,-0.427,-27.74,65,2004,sg_off_tee
188,188,Greg Chalmers,70,-0.441,-28.696,65,2004,sg_off_tee
189,189,Brad Faxon,94,-0.476,-33.317,70,2004,sg_off_tee
190,190,Aaron Baddeley,87,-0.53,-40.255,76,2004,sg_off_tee
191,191,Kevin Muncrief,50,-0.567,-25.51,45,2004,sg_off_tee
192,192,Craig Perks,75,-0.577,-36.32,63,2004,sg_off_tee
193,193,David Frost,78,-0.591,-44.326,75,2004,sg_off_tee
194,194,Steve Stricker,81,-1.036,-71.504,69,2004,sg_off_tee
195,195,David Gossett,57,-1.075,-54.826,51,2004,sg_off_tee
196,196,José María Olazábal,56,-1.08,-45.357,42,2004,sg_off_tee
