RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,AVERAGE,TOTAL SG:ARG,MEASURED ROUNDS,year,measure,RANK THIS WEEK
188,187,Johnson Wagner,12,-0.292,-2.623,9,2006,sg_around_green,NA
189,190,C.T. Pan,16,-0.309,-1.236,4,2006,sg_around_green,NA
190,191,J.J. Henry,12,-0.311,-2.802,9,2006,sg_around_green,NA
T191,174,Andrew Landry,22,-0.315,-5.362,17,2006,sg_around_green,NA
T191,185,Robert Streb,29,-0.315,-5.666,18,2006,sg_around_green,NA
193,192,Doc Redman,34,-0.326,-8.159,25,2006,sg_around_green,NA
194,T193,Lucas Bjerregaard,9,-0.328,-2.296,7,2006,sg_around_green,NA
195,132,Jason Kokrak,17,-0.329,-2.305,7,2006,sg_around_green,NA
196,152,Ryan Moore,18,-0.341,-2.726,8,2006,sg_around_green,NA
197,217,Isaiah Salinda,11,-0.353,-3.174,9,2006,sg_around_green,NA
198,198,Chase Seiffert,30,-0.357,-6.791,19,2006,sg_around_green,NA
199,197,Cameron Percy,25,-0.368,-6.63,18,2006,sg_around_green,NA
200,206,Harry Higgs,33,-0.369,-8.122,22,2006,sg_around_green,NA
201,199,Robert Allenby,6,-0.37,-1.48,4,2006,sg_around_green,NA
202,T177,Paul Casey,16,-0.372,-2.233,6,2006,sg_around_green,NA
203,200,Chris Kirk,8,-0.389,-1.168,3,2006,sg_around_green,NA
204,203,Tommy Gainey,10,-0.402,-2.813,7,2006,sg_around_green,NA
205,204,Satoshi Kodaira,20,-0.418,-4.598,11,2006,sg_around_green,NA
206,205,Tim Herron,10,-0.436,-3.054,7,2006,sg_around_green,NA
207,201,Robby Shelton,31,-0.453,-9.961,22,2006,sg_around_green,NA
208,208,Sangmoon Bae,14,-0.468,-4.211,9,2006,sg_around_green,NA
209,209,John Rollins,8,-0.47,-2.821,6,2006,sg_around_green,NA
210,210,Freddie Jacobson,6,-0.479,-2.395,5,2006,sg_around_green,NA
211,215,Nelson Ledesma,25,-0.48,-7.677,16,2006,sg_around_green,NA
212,211,David Lingmerth,12,-0.481,-4.328,9,2006,sg_around_green,NA
213,226,Sam Burns,16,-0.496,-6.937,14,2006,sg_around_green,NA
214,107,Matthew Wolff,20,-0.513,-5.133,10,2006,sg_around_green,NA
215,213,Jhonattan Vegas,18,-0.515,-5.152,10,2006,sg_around_green,NA
216,216,Chip McDaniel,6,-0.53,-1.059,2,2006,sg_around_green,NA
217,212,Vince Covello,19,-0.535,-7.485,14,2006,sg_around_green,NA
218,223,Sungjae Im,32,-0.536,-9.653,18,2006,sg_around_green,NA
219,207,Troy Merritt,24,-0.575,-7.476,13,2006,sg_around_green,NA
220,214,Danny Lee,25,-0.601,-6.605,11,2006,sg_around_green,NA
221,219,Viktor Hovland,14,-0.614,-2.456,4,2006,sg_around_green,NA
222,220,Bubba Watson,14,-0.621,-3.725,6,2006,sg_around_green,NA
223,221,Keith Mitchell,22,-0.636,-6.996,11,2006,sg_around_green,NA
224,218,Michael Gellerman,23,-0.667,-12.008,18,2006,sg_around_green,NA
225,222,Brandon Wu,8,-0.695,-2.781,4,2006,sg_around_green,NA
226,228,John Senden,13,-0.742,-5.191,7,2006,sg_around_green,NA
227,225,Graham DeLaet,14,-0.755,-6.037,8,2006,sg_around_green,NA
228,230,Akshay Bhatia,11,-0.763,-6.107,8,2006,sg_around_green,NA
229,227,Will Gordon,12,-0.794,-5.555,7,2006,sg_around_green,NA
230,229,Mikumu Horikawa,12,-0.81,-3.241,4,2006,sg_around_green,NA
231,224,Max Homa,22,-0.847,-10.161,12,2006,sg_around_green,NA
232,231,Jim Herman,24,-0.927,-17.62,19,2006,sg_around_green,NA
233,232,Smylie Kaufman,6,-1.022,-4.087,4,2006,sg_around_green,NA
234,233,Davis Love III,6,-1.057,-1.057,1,2006,sg_around_green,NA
235,234,Kristoffer Ventura,25,-1.061,-16.969,16,2006,sg_around_green,NA
