RANK THIS WEEK,RANK LAST WEEK,PLAYER NAME,ROUNDS,%,GREENS HIT,# HOLES,RELATIVE/PAR,year,measure
60,66,Cameron Smith,22,71.97,285,396,-0.37,2014,gir_pct
61,T56,Jhonattan Vegas,18,71.91,233,324,-0.25,2014,gir_pct
T62,83,Lucas Glover,23,71.74,297,414,-0.27,2014,gir_pct
T62,51,Martin Laird,23,71.74,297,414,-0.24,2014,gir_pct
64,64,Tyler Duncan,32,71.7,413,576,-0.27,2014,gir_pct
65,70,Chad Campbell,10,71.67,129,180,-0.26,2014,gir_pct
66,65,Cameron Tringale,28,71.63,361,504,-0.29,2014,gir_pct
T67,T79,Lucas Bjerregaard,9,71.6,116,162,-0.28,2014,gir_pct
T67,T114,Ryan Moore,18,71.6,232,324,-0.32,2014,gir_pct
T69,T71,Adam Scott,16,71.53,206,288,-0.36,2014,gir_pct
T69,,Rickie Fowler,8,71.53,103,144,-0.37,2014,gir_pct
T69,T71,Dylan Frittelli,32,71.53,412,576,-0.26,2014,gir_pct
T69,T71,Chris Kirk,8,71.53,103,144,-0.25,2014,gir_pct
73,54,Ryan Armour,27,71.4,347,486,-0.28,2014,gir_pct
74,89,Xinjun Zhang,33,71.38,424,594,-0.29,2014,gir_pct
75,91,Danny Lee,25,71.33,321,450,-0.3,2014,gir_pct
76,T96,Chris Baker,23,71.26,295,414,-0.21,2014,gir_pct
77,82,Bud Cauley,20,71.11,256,360,-0.31,2014,gir_pct
78,85,Viktor Hovland,14,71.03,179,252,-0.31,2014,gir_pct
79,T92,Sungjae Im,32,71.01,409,576,-0.36,2014,gir_pct
80,T119,Cameron Champ,26,70.94,332,468,-0.33,2014,gir_pct
81,T56,Carlos Ortiz,30,70.93,383,540,-0.31,2014,gir_pct
82,T49,Ben Crane,17,70.92,217,306,-0.24,2014,gir_pct
T83,55,David Hearn,32,70.83,408,576,-0.28,2014,gir_pct
T83,87,Scott Stallings,28,70.83,357,504,-0.32,2014,gir_pct
T83,T122,Abraham Ancer,28,70.83,357,504,-0.3,2014,gir_pct
86,84,Luke List,27,70.78,344,486,-0.28,2014,gir_pct
T87,T104,Talor Gooch,30,70.74,382,540,-0.29,2014,gir_pct
T87,86,Adam Schenk,30,70.74,382,540,-0.26,2014,gir_pct
89,90,Matt Jones,26,70.73,331,468,-0.31,2014,gir_pct
90,88,Adam Long,37,70.72,471,666,-0.31,2014,gir_pct
