rest_link,review_link,review_date,rest_name
http://madisonfishfry.com/reviews.php?restaurant=2,http://madisonfishfry.com/reviews.php?restaurant=2&event=61,09/01/2006,Fitzgerald's of Middleton - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=2,http://madisonfishfry.com/reviews.php?restaurant=2&event=115,10/07/2005,Fitzgerald's of Middleton - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=2,http://madisonfishfry.com/reviews.php?restaurant=2&event=511,07/23/2005,Fitzgerald's of Middleton - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=20,http://madisonfishfry.com/reviews.php?restaurant=20&event=481,04/16/2010,Hilltop Inn - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=20,http://madisonfishfry.com/reviews.php?restaurant=20&event=482,04/16/2010,Hilltop Inn - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=20,http://madisonfishfry.com/reviews.php?restaurant=20&event=95,02/10/2006,Hilltop Inn - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=200,http://madisonfishfry.com/reviews.php?restaurant=200&event=341,11/28/2008,Gus' Diner
http://madisonfishfry.com/reviews.php?restaurant=201,http://madisonfishfry.com/reviews.php?restaurant=201&event=465,02/26/2010,Paul's Neighborhood Bar
http://madisonfishfry.com/reviews.php?restaurant=201,http://madisonfishfry.com/reviews.php?restaurant=201&event=466,02/26/2010,Paul's Neighborhood Bar
http://madisonfishfry.com/reviews.php?restaurant=202,http://madisonfishfry.com/reviews.php?restaurant=202&event=338,11/07/2008,Kickapoo Inn - CLOSED
http://madisonfishfry.com/reviews.php?restaurant=203,http://madisonfishfry.com/reviews.php?restaurant=203&event=927,07/25/2014,Highland Corner Grill
http://madisonfishfry.com/reviews.php?restaurant=205,http://madisonfishfry.com/reviews.php?restaurant=205&event=1318,02/08/2019,Slice's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=205,http://madisonfishfry.com/reviews.php?restaurant=205&event=413,08/07/2009,Slice's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=205,http://madisonfishfry.com/reviews.php?restaurant=205&event=414,08/07/2009,Slice's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=205,http://madisonfishfry.com/reviews.php?restaurant=205&event=381,04/17/2009,Slice's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=1336,04/26/2019,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=1206,10/06/2017,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=1186,08/04/2017,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=1121,12/02/2016,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=1112,10/28/2016,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=1094,08/19/2016,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=1088,07/22/2016,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=991,04/03/2015,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=969,01/16/2015,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=924,07/11/2014,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=896,03/21/2014,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=887,02/21/2014,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=871,12/27/2013,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=829,08/02/2013,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=817,06/21/2013,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=813,06/07/2013,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=767,12/28/2012,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=751,11/02/2012,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=745,10/12/2012,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=716,06/29/2012,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=695,04/06/2012,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=663,12/02/2011,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=647,10/14/2011,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=609,07/15/2011,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=561,02/04/2011,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=541,10/29/2010,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=530,10/01/2010,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=517,08/13/2010,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=485,04/30/2010,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=459,02/12/2010,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=399,06/12/2009,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=397,06/05/2009,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=336,10/31/2008,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=334,10/24/2008,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=329,10/10/2008,Wilson's Sport's Bar & Grill
http://madisonfishfry.com/reviews.php?restaurant=21,http://madisonfishfry.com/reviews.php?restaurant=21&event=321,09/19/2008,Wilson's Sport's Bar & Grill
